constituency_id,state,demographic,result_2011,turnout_2011,margin_2011,swing_2011,result_2016,turnout_2016,margin_2016,swing_2016,result_2021,turnout_2021,margin_2021,swing_2021,turnout_change_16,turnout_change_21,margin_change_16,margin_change_21,seat_flip_16,seat_flip_21,retained_2021,demographic_encoded,state_encoded,result_2016_encoded
WE-AC0022,West Bengal,Urban,CPIM,67.97,21.8939,4.7171,CPIM,66.83,19.8384,-2.8549,CPIM,71.09,27.5085,10.6529,-1.1400000000000006,4.260000000000005,-2.0554999999999986,7.6701000000000015,0,0,1,0,4,5
KE-AC0023,Kerala,Semi-Urban,LDF,79.68,31.4644,11.0269,LDF,72.28,18.1458,-18.498,LDF,76.95,26.5599,11.6863,-7.400000000000006,4.670000000000002,-13.3186,8.414099999999998,0,0,1,1,1,8
PU-AC0024,Puducherry,Rural,INC,71.55,-11.381,-19.3457,AINRC,72.15,-10.2963,1.5066,INC,72.09,-10.4094,-0.1571,0.6000000000000085,-0.060000000000002274,1.0846999999999998,-0.11309999999999931,1,1,0,2,2,2
AS-AC0025,Assam,Rural,INC,88.17,13.588,9.5841,INC,89.84,16.5985,4.1812,AIUDF,82.3,3.0155,-18.8653,1.6700000000000017,-7.540000000000006,3.010500000000002,-13.583000000000002,0,1,0,2,0,7
PU-AC0026,Puducherry,Rural,INC,82.78,16.1228,8.7216,INC,87.99,25.4853,13.0035,INC,82.61,15.8119,-13.4352,5.209999999999994,-5.3799999999999955,9.362499999999997,-9.673399999999999,0,0,1,2,2,7
PU-AC0027,Puducherry,Urban,DMK,75.79,3.3986,-0.3119,BJP,75.75,3.3152,-0.1158,INC,76.51,4.6875,1.906,-0.04000000000000625,0.7600000000000051,-0.08340000000000014,1.3723,1,1,0,0,2,4
PU-AC0028,Puducherry,Semi-Urban,BJP,74.07,15.7134,-0.7283,BJP,70.69,9.6165,-8.4679,DMK,64.63,-1.2904,-15.1485,-3.3799999999999955,-6.060000000000002,-6.0969,-10.9069,0,1,0,1,2,4
TA-AC0029,Tamil Nadu,Rural,AIADMK,82.41,11.4105,3.8532,AIADMK,78.87,5.0467,-8.8386,AIADMK,79.49,6.1535,1.5373,-3.539999999999992,0.6199999999999903,-6.3638,1.1067999999999998,0,0,1,2,3,1
TA-AC0030,Tamil Nadu,Urban,BJP,52.14,-4.7043,-11.8304,AIADMK,53.94,-1.4659,4.4977,AIADMK,61.06,11.3424,17.7892,1.7999999999999972,7.1200000000000045,3.2384,12.8083,1,0,1,0,3,1
WE-AC0031,West Bengal,Rural,INC,76.06,4.9808,4.95,INC,75.4,3.7906,-1.6531,CPIM,72.65,-1.1571,-6.8718,-0.6599999999999966,-2.75,-1.1902000000000004,-4.9477,0,1,0,2,4,7
TA-AC0032,Tamil Nadu,Urban,AIADMK,59.9,4.2905,0.8187,AIADMK,69.16,20.956,23.1466,AIADMK,61.69,7.5117,-18.6727,9.259999999999998,-7.469999999999999,16.6655,-13.444299999999998,0,0,1,0,3,1
WE-AC0033,West Bengal,Urban,CPIM,64.0,20.5976,10.8895,CPIM,64.25,21.0604,0.6428,CPIM,59.94,13.3006,-10.7774,0.25,-4.310000000000002,0.46280000000000143,-7.759800000000002,0,0,1,0,4,5
AS-AC0034,Assam,Rural,AGP,95.0,36.2871,7.6371,AGP,95.0,36.2871,0.0,AGP,95.0,36.2871,0.0,0.0,0.0,0.0,0.0,0,0,1,2,0,0
TA-AC0035,Tamil Nadu,Rural,DMK,80.1,7.3429,8.5243,AIADMK,76.93,1.6368,-7.9252,BJP,76.47,0.8107,-1.1474,-3.1699999999999875,-0.46000000000000796,-5.7061,-0.8261000000000001,1,1,0,2,3,1
WE-AC0036,West Bengal,Rural,INC,70.88,4.3464,-3.4313,INC,71.62,5.6702,1.8386,INC,73.93,9.8311,5.779,0.7400000000000091,2.3100000000000023,1.3238000000000003,4.160899999999999,0,0,1,2,4,7
PU-AC0037,Puducherry,Rural,BJP,70.47,-2.3705,-4.8423,BJP,75.53,6.7513,12.6691,INC,72.7,1.6561,-7.0767,5.060000000000002,-2.8299999999999983,9.1218,-5.0952,0,1,0,2,2,4
WE-AC0038,West Bengal,Rural,BJP,81.64,9.291,10.968,BJP,90.09,24.5054,21.1311,BJP,88.1,20.9169,-4.9841,8.450000000000003,-1.990000000000009,15.214400000000001,-3.5885000000000034,0,0,1,2,4,4
PU-AC0039,Puducherry,Semi-Urban,BJP,75.03,14.0965,7.5594,BJP,82.77,28.018,19.3354,BJP,84.42,30.9979,4.1387,7.739999999999995,1.6500000000000057,13.9215,2.9799000000000007,0,0,1,1,2,4
TA-AC0040,Tamil Nadu,Urban,DMK,65.74,10.1545,1.2609,DMK,58.15,-3.5066,-18.9738,DMK,63.27,5.7133,12.8054,-7.589999999999996,5.1200000000000045,-13.661100000000001,9.2199,0,0,1,0,3,6
KE-AC0041,Kerala,Semi-Urban,INC,79.47,6.7788,4.4689,BJP,74.89,-1.4648,-11.4495,UDF,77.26,2.7927,5.9132,-4.579999999999998,2.3700000000000045,-8.2436,4.2575,1,1,0,1,1,4
TA-AC0042,Tamil Nadu,Urban,AIADMK,58.75,18.1976,11.1689,AIADMK,54.13,9.8779,-11.5552,AIADMK,60.41,21.1827,15.7011,-4.619999999999997,6.279999999999994,-8.319700000000001,11.3048,0,0,1,0,3,1
TA-AC0043,Tamil Nadu,Urban,DMK,71.6,1.0312,-0.4009,DMK,73.71,4.8431,5.2944,DMK,72.98,3.5191,-1.8389,2.1099999999999994,-0.7299999999999898,3.8118999999999996,-1.3239999999999998,0,0,0,0,3,6
AS-AC0044,Assam,Urban,AIUDF,68.18,9.1166,6.1037,AIUDF,68.09,8.9661,-0.209,AIUDF,68.56,9.8109,1.1733,-0.09000000000000341,0.46999999999999886,-0.1504999999999992,0.8447999999999993,0,0,1,0,0,3
PU-AC0045,Puducherry,Urban,BJP,71.15,13.2908,8.5786,BJP,68.65,8.7774,-6.2686,BJP,63.28,-0.8851,-13.4201,-2.5,-5.3700000000000045,-4.513400000000001,-9.6625,0,0,0,0,2,4
WE-AC0046,West Bengal,Rural,CPIM,82.22,31.1244,8.5397,CPIM,81.14,29.1729,-2.7104,CPIM,78.68,24.7586,-6.1309,-1.0799999999999983,-2.4599999999999937,-1.951500000000003,-4.414299999999997,0,0,1,2,4,5
AS-AC0047,Assam,Rural,AGP,84.28,24.9958,20.9239,AGP,80.25,17.7525,-10.0602,AGP,75.4,9.0103,-12.1419,-4.030000000000001,-4.849999999999994,-7.243299999999998,-8.7422,0,0,1,2,0,0
PU-AC0048,Puducherry,Rural,DMK,76.47,18.4295,-0.0882,DMK,68.11,3.3814,-20.9002,DMK,75.19,16.1285,17.7043,-8.36,7.079999999999998,-15.048100000000002,12.7471,0,0,1,2,2,6
TA-AC0049,Tamil Nadu,Semi-Urban,INC,78.43,9.0139,4.9606,INC,78.65,9.414,0.5557,INC,78.89,9.8477,0.6023,0.21999999999999886,0.23999999999999488,0.4001000000000001,0.4337,0,0,1,1,3,7
TA-AC0050,Tamil Nadu,Rural,DMK,72.41,18.555,0.7901,DMK,76.65,26.192,10.6069,DMK,77.6,27.9019,2.3749,4.240000000000009,0.9499999999999886,7.6370000000000005,1.709900000000001,0,0,1,2,3,6
WE-AC0051,West Bengal,Rural,BJP,82.81,3.8969,-9.5439,INC,73.46,-12.9482,-23.396,INC,72.05,-15.4793,-3.5154,-9.350000000000009,-1.4099999999999966,-16.8451,-2.5311000000000003,1,0,0,2,4,7
KE-AC0052,Kerala,Urban,LDF,61.56,1.056,-19.1491,LDF,64.97,7.19,8.5194,LDF,68.04,12.722,7.6834,3.4099999999999966,3.0700000000000074,6.134,5.531999999999999,0,0,1,0,1,8
KE-AC0053,Kerala,Rural,UDF,81.06,5.917,4.0171,UDF,83.82,10.886,6.9014,UDF,82.22,7.9972,-4.0122,2.759999999999991,-1.5999999999999943,4.968999999999999,-2.888799999999999,0,0,1,2,1,10
TA-AC0054,Tamil Nadu,Urban,DMK,66.28,14.0048,9.835,DMK,68.18,17.4149,4.7363,DMK,68.39,17.8062,0.5435,1.9000000000000057,0.20999999999999375,3.4101,0.3913000000000011,0,0,1,0,3,6
WE-AC0055,West Bengal,Rural,BJP,87.7,-4.1528,-7.6735,CPIM,91.19,2.1279,8.7232,CPIM,91.92,3.448,1.8334,3.489999999999995,0.730000000000004,6.2806999999999995,1.3201,1,0,0,2,4,5
AS-AC0056,Assam,Urban,AGP,55.1,-0.4517,-4.9116,BJP,50.26,-9.1574,-12.0912,BJP,56.62,2.2844,15.8914,-4.840000000000003,6.359999999999999,-8.7057,11.4418,1,0,0,0,0,4
AS-AC0057,Assam,Semi-Urban,BJP,81.21,23.7431,18.7617,BJP,85.02,30.5862,9.5042,BJP,82.71,26.4325,-5.769,3.8100000000000023,-2.3100000000000023,6.843100000000003,-4.153700000000001,0,0,1,1,0,4
PU-AC0058,Puducherry,Semi-Urban,INC,81.62,27.7151,14.7666,INC,84.42,32.7568,7.0024,INC,83.89,31.8042,-1.323,2.799999999999997,-0.5300000000000011,5.041699999999999,-0.9525999999999968,0,0,1,1,2,7
PU-AC0059,Puducherry,Urban,DMK,66.02,25.6516,-4.6918,DMK,59.17,13.317,-17.1313,DMK,64.58,23.0649,13.5387,-6.849999999999994,5.409999999999997,-12.334599999999998,9.747900000000001,0,0,1,0,2,6
WE-AC0060,West Bengal,Semi-Urban,TMC,56.13,10.5141,-9.0129,TMC,55.7,9.732,-1.0863,TMC,55.48,9.3325,-0.5548,-0.4299999999999997,-0.22000000000000597,-0.7820999999999998,-0.39949999999999974,0,0,1,1,4,9
PU-AC0061,Puducherry,Semi-Urban,AINRC,72.21,6.1289,0.4698,INC,70.41,2.8884,-4.5007,INC,72.91,7.3729,6.2285,-1.7999999999999972,2.5,-3.2405,4.4845,1,0,1,1,2,7
KE-AC0062,Kerala,Urban,UDF,62.63,13.3836,-2.579,INC,48.72,-11.6592,-34.7817,LDF,47.65,-13.5907,-2.6826,-13.910000000000004,-1.0700000000000003,-25.0428,-1.9314999999999998,1,1,0,0,1,7
AS-AC0063,Assam,Rural,AIUDF,82.64,17.7366,9.7157,AIUDF,85.22,22.3833,6.4538,AIUDF,90.7,32.2374,13.6863,2.5799999999999983,5.480000000000004,4.646699999999999,9.854100000000003,0,0,1,2,0,3
AS-AC0064,Assam,Semi-Urban,BJP,85.15,20.5414,12.7399,BJP,81.67,14.2876,-8.6858,BJP,82.14,15.1258,1.1641,-3.480000000000004,0.46999999999999886,-6.2538,0.8382000000000005,0,0,1,1,0,4
WE-AC0065,West Bengal,Rural,BJP,82.62,-4.02,-13.801,TMC,75.81,-16.2844,-17.0338,BJP,75.59,-16.6843,-0.5555,-6.810000000000002,-0.21999999999999886,-12.264400000000002,-0.3998999999999988,1,1,0,2,4,9
PU-AC0066,Puducherry,Urban,DMK,56.56,14.6165,9.1461,AINRC,47.86,-1.0427,-21.7488,AINRC,55.99,13.5887,20.3214,-8.700000000000003,8.130000000000003,-15.6592,14.6314,1,0,1,0,2,2
AS-AC0067,Assam,Urban,AIUDF,64.57,0.42,-2.9069,AIUDF,72.79,15.2167,20.5509,AIUDF,71.52,12.9173,-3.1936,8.220000000000013,-1.2700000000000102,14.7967,-2.2994000000000003,0,0,1,0,0,3
KE-AC0068,Kerala,Semi-Urban,UDF,60.39,-2.2557,-13.016,UDF,60.6,-1.8896,0.5084,UDF,58.64,-5.4078,-4.8864,0.21000000000000085,-1.9600000000000009,0.3661000000000001,-3.5182,0,0,0,1,1,10
WE-AC0069,West Bengal,Rural,INC,79.66,1.9857,0.4213,INC,81.72,5.6907,5.1459,INC,86.54,14.3641,12.0464,2.0600000000000023,4.820000000000007,3.7049999999999996,8.6734,0,0,1,2,4,7
PU-AC0070,Puducherry,Urban,DMK,63.03,3.4113,0.3564,DMK,66.23,9.1691,7.9969,DMK,66.51,9.6659,0.6901,3.200000000000003,0.28000000000000114,5.7578,0.49680000000000035,0,0,1,0,2,6
TA-AC0071,Tamil Nadu,Rural,AIADMK,84.13,4.1479,3.1125,AIADMK,95.0,23.7179,27.1805,AIADMK,95.0,23.7179,0.0,10.870000000000005,0.0,19.57,0.0,0,0,1,2,3,1
KE-AC0072,Kerala,Rural,UDF,79.51,12.1771,-4.8877,UDF,80.55,14.0485,2.5992,UDF,75.39,4.753,-12.9104,1.039999999999992,-5.159999999999997,1.8714000000000013,-9.2955,0,0,0,2,1,10
AS-AC0073,Assam,Urban,AIUDF,51.81,-8.9721,-21.107,INC,57.18,0.6982,13.431,INC,51.95,-8.7169,-13.0766,5.369999999999997,-5.229999999999997,9.6703,-9.4151,1,0,0,0,0,7
WE-AC0074,West Bengal,Rural,TMC,67.84,-4.9368,-11.3587,BJP,68.75,-3.3096,2.26,TMC,72.1,2.7366,8.3975,0.9099999999999966,3.3499999999999943,1.6271999999999998,6.046200000000001,1,1,0,2,4,4
WE-AC0075,West Bengal,Urban,TMC,56.8,-0.9841,-4.8713,INC,54.43,-5.2493,-5.9239,INC,50.97,-11.47,-8.6399,-2.3699999999999974,-3.460000000000001,-4.2652,-6.220700000000001,1,0,0,0,4,7
KE-AC0076,Kerala,Urban,UDF,66.5,17.8036,9.0787,UDF,66.47,17.7403,-0.0879,UDF,68.27,20.9905,4.5141,-0.030000000000001137,1.7999999999999972,-0.06329999999999814,3.2501999999999995,0,0,1,0,1,10
WE-AC0077,West Bengal,Rural,CPIM,81.74,47.3749,26.167,CPIM,80.01,44.2732,-4.3079,CPIM,81.99,47.8341,4.9457,-1.7299999999999898,1.9799999999999898,-3.101699999999994,3.5608999999999966,0,0,1,2,4,5
KE-AC0078,Kerala,Urban,UDF,69.92,14.0355,17.09,UDF,73.87,21.1454,9.8749,UDF,76.92,26.6477,7.642,3.950000000000003,3.049999999999997,7.109899999999998,5.502300000000002,0,0,1,0,1,10
KE-AC0079,Kerala,Semi-Urban,INC,69.67,-4.7678,-16.8487,UDF,66.68,-10.1532,-7.4797,LDF,58.12,-25.5526,-21.388,-2.989999999999995,-8.56000000000001,-5.3854,-15.399400000000002,1,1,0,1,1,10
TA-AC0080,Tamil Nadu,Urban,AIADMK,57.55,-5.4688,-10.2382,INC,62.7,3.8077,12.8841,INC,64.56,7.1522,4.6452,5.150000000000006,1.8599999999999994,9.2765,3.3444999999999996,1,0,1,0,3,7
AS-AC0081,Assam,Rural,AGP,72.49,-7.5469,-12.4184,AIUDF,73.22,-6.2256,1.8351,BJP,74.64,-3.6829,3.5316,0.730000000000004,1.4200000000000017,1.3213,2.5427,1,1,0,2,0,3
PU-AC0082,Puducherry,Urban,INC,59.13,4.6258,-3.1906,INC,61.31,8.5389,5.4348,INC,65.44,15.9903,10.3492,2.1799999999999997,4.1299999999999955,3.9131,7.4514,0,0,1,0,2,7
PU-AC0083,Puducherry,Rural,INC,85.12,22.558,19.0702,INC,87.33,26.5362,5.5253,INC,88.52,28.6642,2.9555,2.2099999999999937,1.1899999999999977,3.978200000000001,2.128,0,0,1,2,2,7
WE-AC0084,West Bengal,Urban,INC,64.1,14.7568,8.231,INC,67.67,21.1822,8.9241,INC,68.05,21.8707,0.9562,3.5700000000000074,0.37999999999999545,6.4254000000000016,0.6884999999999977,0,0,1,0,4,7
KE-AC0085,Kerala,Rural,BJP,74.02,4.2166,-4.0037,BJP,76.06,7.8841,5.0938,BJP,81.05,16.8649,12.4733,2.0400000000000063,4.989999999999995,3.6675000000000004,8.980799999999999,0,0,1,2,1,4
AS-AC0086,Assam,Semi-Urban,INC,80.18,10.102,10.0989,INC,78.19,6.5246,-4.9686,INC,79.74,9.3171,3.8784,-1.990000000000009,1.5499999999999972,-3.5774,2.7924999999999995,0,0,1,1,0,7
TA-AC0087,Tamil Nadu,Rural,INC,79.01,7.761,2.6053,INC,70.03,-8.4016,-22.448,BJP,72.73,-3.5358,6.7581,-8.980000000000004,2.700000000000003,-16.1626,4.8658,0,1,0,2,3,7
PU-AC0088,Puducherry,Rural,DMK,65.59,8.2994,-3.8554,DMK,70.91,17.8786,13.3044,DMK,78.91,32.2737,19.9932,5.319999999999993,8.0,9.579199999999998,14.3951,0,0,1,2,2,6
PU-AC0089,Puducherry,Semi-Urban,DMK,72.75,6.0669,3.2642,BJP,71.12,3.1369,-4.0694,AINRC,65.31,-7.319,-14.522,-1.6299999999999955,-5.810000000000002,-2.9300000000000006,-10.4559,1,1,0,1,2,4
PU-AC0090,Puducherry,Urban,BJP,58.9,-1.3044,-4.3986,INC,61.47,3.3277,6.4335,INC,67.73,14.5936,15.647,2.5700000000000003,6.260000000000005,4.6321,11.2659,1,0,1,0,2,7
PU-AC0091,Puducherry,Rural,INC,76.69,3.4617,-11.3975,AINRC,71.33,-6.1967,-13.4145,AINRC,78.87,7.3885,18.8683,-5.359999999999999,7.540000000000006,-9.6584,13.5852,1,0,1,2,2,2
KE-AC0092,Kerala,Rural,INC,94.79,8.0386,5.2395,LDF,92.44,3.8044,-5.8809,LDF,91.9,2.8439,-1.334,-2.3500000000000085,-0.539999999999992,-4.234200000000001,-0.9604999999999997,1,0,0,2,1,8
TA-AC0093,Tamil Nadu,Rural,BJP,74.98,-12.3005,-23.2074,DMK,74.06,-13.9556,-2.2988,INC,76.57,-9.433,6.2814,-0.9200000000000017,2.509999999999991,-1.655100000000001,4.522600000000001,1,1,0,2,3,6
KE-AC0094,Kerala,Urban,LDF,62.3,3.5291,3.1297,LDF,57.52,-5.0696,-11.9427,BJP,58.63,-3.0739,2.7718,-4.779999999999994,1.1099999999999994,-8.598700000000001,1.9957000000000003,0,1,0,0,1,8
KE-AC0095,Kerala,Rural,BJP,74.23,-6.4115,-11.0653,BJP,84.52,12.1167,25.7336,BJP,84.76,12.5431,0.5922,10.289999999999992,0.2400000000000091,18.5282,0.426400000000001,0,0,1,2,1,4
KE-AC0096,Kerala,Rural,UDF,69.26,0.1972,-21.241,LDF,63.53,-10.1255,-14.3371,UDF,69.39,0.4253,14.6539,-5.730000000000004,5.859999999999999,-10.322700000000001,10.5508,1,1,0,2,1,8
KE-AC0097,Kerala,Rural,LDF,71.11,10.2085,10.9151,LDF,76.1,19.1803,12.4609,INC,67.8,4.2519,-20.7339,4.989999999999995,-8.299999999999997,8.971799999999998,-14.9284,0,1,0,2,1,8
PU-AC0098,Puducherry,Urban,DMK,61.54,20.5413,9.2163,DMK,61.8,20.9995,0.6363,DMK,65.6,27.8504,9.5151,0.259999999999998,3.799999999999997,0.4582000000000015,6.850899999999999,0,0,1,0,2,6
AS-AC0099,Assam,Semi-Urban,AIUDF,74.81,10.1212,10.2429,BJP,68.32,-1.561,-16.2252,AGP,69.69,0.8941,3.4099,-6.490000000000009,1.3700000000000045,-11.6822,2.4551,1,1,0,1,0,4
WE-AC0100,West Bengal,Rural,CPIM,78.29,-4.3545,-10.5326,CPIM,76.89,-6.8794,-3.5068,BJP,75.97,-8.5298,-2.2922,-1.4000000000000057,-0.9200000000000017,-2.5249000000000006,-1.6503999999999994,0,1,0,2,4,5
KE-AC0101,Kerala,Semi-Urban,LDF,59.93,5.1677,-9.0053,LDF,60.86,6.8305,2.3094,BJP,57.99,1.6755,-7.1598,0.9299999999999997,-2.8699999999999974,1.6627999999999998,-5.154999999999999,0,1,0,1,1,8
PU-AC0102,Puducherry,Semi-Urban,DMK,82.67,11.1736,9.5825,DMK,83.58,12.8099,2.2726,DMK,86.57,18.1954,7.4798,0.9099999999999966,2.989999999999995,1.6363000000000003,5.385499999999999,0,0,1,1,2,6
TA-AC0103,Tamil Nadu,Rural,AIADMK,83.25,-1.8416,-6.7004,INC,87.04,4.9964,9.4972,INC,85.6,2.3973,-3.6099,3.7900000000000063,-1.440000000000012,6.838,-2.5991000000000004,1,0,0,2,3,7
WE-AC0104,West Bengal,Semi-Urban,TMC,76.74,0.9589,-0.3096,CPIM,75.39,-1.4582,-3.3572,CPIM,80.78,8.2333,13.4604,-1.3499999999999943,5.390000000000001,-2.4171,9.6915,1,0,1,1,4,5
TA-AC0105,Tamil Nadu,Rural,AIADMK,75.21,0.5324,-4.1814,AIADMK,70.06,-8.7444,-12.8845,INC,70.46,-8.0185,1.0082,-5.1499999999999915,0.3999999999999915,-9.276800000000001,0.7259000000000011,0,1,0,2,3,1
PU-AC0106,Puducherry,Semi-Urban,INC,68.19,11.1654,-0.0335,INC,67.91,10.6687,-0.6898,AINRC,57.6,-7.8945,-25.7822,-0.28000000000000114,-10.309999999999995,-0.4967000000000006,-18.5632,0,1,0,1,2,7
PU-AC0107,Puducherry,Urban,INC,62.89,-0.1451,-9.1655,INC,65.74,4.9786,7.1162,AINRC,60.41,-4.6172,-13.3274,2.8499999999999943,-5.329999999999998,5.1237,-9.5958,0,1,0,0,2,7
PU-AC0108,Puducherry,Rural,DMK,76.98,1.8793,0.2609,DMK,79.05,5.6064,5.1766,AINRC,76.15,0.381,-7.2574,2.069999999999993,-2.8999999999999915,3.7271,-5.2254,0,1,0,2,2,6
PU-AC0109,Puducherry,Rural,DMK,69.98,-2.047,-13.5168,DMK,66.07,-9.0733,-9.7587,BJP,70.29,-1.4871,10.5364,-3.910000000000011,4.220000000000013,-7.026299999999999,7.5862,0,1,0,2,2,6
PU-AC0110,Puducherry,Rural,INC,74.61,3.6069,-17.1954,INC,75.74,5.6485,2.8356,DMK,74.62,3.6281,-2.8062,1.1299999999999955,-1.1199999999999903,2.0416000000000003,-2.0204000000000004,0,1,0,2,2,7
TA-AC0111,Tamil Nadu,Rural,INC,68.0,8.238,-3.5087,AIADMK,63.82,0.7074,-10.4591,DMK,56.69,-12.1126,-17.8056,-4.18,-7.130000000000003,-7.5306,-12.82,1,1,0,2,3,1
KE-AC0112,Kerala,Semi-Urban,INC,79.05,11.5849,9.7255,INC,81.54,16.0619,6.2181,BJP,75.26,4.7563,-15.7022,2.490000000000009,-6.280000000000001,4.477000000000002,-11.305600000000002,0,1,0,1,1,7
KE-AC0113,Kerala,Semi-Urban,BJP,79.36,33.6663,10.1014,BJP,75.88,27.4123,-8.6861,BJP,76.06,27.7346,0.4477,-3.480000000000004,0.18000000000000682,-6.254000000000001,0.32230000000000203,0,0,1,1,1,4
PU-AC0114,Puducherry,Rural,AINRC,89.66,11.2733,13.6799,AINRC,95.0,20.8845,13.3489,AINRC,95.0,20.8845,0.0,5.340000000000003,0.0,9.611199999999998,0.0,0,0,1,2,2,2
