constituency_id,state,demographic,result,voter_turnout_pct,margin_of_victory_pct,swing_factor_pct,election_year
AS-AC0056,Assam,Urban,AGP,55.1,-0.4517,-4.9116,2011
AS-AC0057,Assam,Semi-Urban,BJP,81.21,23.7431,18.7617,2011
PU-AC0058,Puducherry,Semi-Urban,INC,81.62,27.7151,14.7666,2011
PU-AC0059,Puducherry,Urban,DMK,66.02,25.6516,-4.6918,2011
WE-AC0060,West Bengal,Semi-Urban,TMC,56.13,10.5141,-9.0129,2011
PU-AC0061,Puducherry,Semi-Urban,AINRC,72.21,6.1289,0.4698,2011
KE-AC0062,Kerala,Urban,UDF,62.63,13.3836,-2.579,2011
AS-AC0063,Assam,Rural,AIUDF,82.64,17.7366,9.7157,2011
AS-AC0064,Assam,Semi-Urban,BJP,85.15,20.5414,12.7399,2011
WE-AC0065,West Bengal,Rural,BJP,82.62,-4.02,-13.801,2011
PU-AC0066,Puducherry,Urban,DMK,56.56,14.6165,9.1461,2011
AS-AC0067,Assam,Urban,AIUDF,64.57,0.42,-2.9069,2011
KE-AC0068,Kerala,Semi-Urban,UDF,60.39,-2.2557,-13.016,2011
WE-AC0069,West Bengal,Rural,INC,79.66,1.9857,0.4213,2011
PU-AC0070,Puducherry,Urban,DMK,63.03,3.4113,0.3564,2011
TA-AC0071,Tamil Nadu,Rural,AIADMK,84.13,4.1479,3.1125,2011
KE-AC0072,Kerala,Rural,UDF,79.51,12.1771,-4.8877,2011
AS-AC0073,Assam,Urban,AIUDF,51.81,-8.9721,-21.107,2011
WE-AC0074,West Bengal,Rural,TMC,67.84,-4.9368,-11.3587,2011
WE-AC0075,West Bengal,Urban,TMC,56.8,-0.9841,-4.8713,2011
KE-AC0076,Kerala,Urban,UDF,66.5,17.8036,9.0787,2011
WE-AC0077,West Bengal,Rural,CPIM,81.74,47.3749,26.167,2011
KE-AC0078,Kerala,Urban,UDF,69.92,14.0355,17.09,2011
KE-AC0079,Kerala,Semi-Urban,INC,69.67,-4.7678,-16.8487,2011
TA-AC0080,Tamil Nadu,Urban,AIADMK,57.55,-5.4688,-10.2382,2011
AS-AC0081,Assam,Rural,AGP,72.49,-7.5469,-12.4184,2011
PU-AC0082,Puducherry,Urban,INC,59.13,4.6258,-3.1906,2011
PU-AC0083,Puducherry,Rural,INC,85.12,22.558,19.0702,2011
WE-AC0084,West Bengal,Urban,INC,64.1,14.7568,8.231,2011
KE-AC0085,Kerala,Rural,BJP,74.02,4.2166,-4.0037,2011
AS-AC0086,Assam,Semi-Urban,INC,80.18,10.102,10.0989,2011
TA-AC0087,Tamil Nadu,Rural,INC,79.01,7.761,2.6053,2011
PU-AC0088,Puducherry,Rural,DMK,65.59,8.2994,-3.8554,2011
PU-AC0089,Puducherry,Semi-Urban,DMK,72.75,6.0669,3.2642,2011
PU-AC0090,Puducherry,Urban,BJP,58.9,-1.3044,-4.3986,2011
PU-AC0091,Puducherry,Rural,INC,76.69,3.4617,-11.3975,2011
KE-AC0092,Kerala,Rural,INC,94.79,8.0386,5.2395,2011
TA-AC0093,Tamil Nadu,Rural,BJP,74.98,-12.3005,-23.2074,2011
KE-AC0094,Kerala,Urban,LDF,62.3,3.5291,3.1297,2011
KE-AC0095,Kerala,Rural,BJP,74.23,-6.4115,-11.0653,2011
KE-AC0096,Kerala,Rural,UDF,69.26,0.1972,-21.241,2011
KE-AC0097,Kerala,Rural,LDF,71.11,10.2085,10.9151,2011
PU-AC0098,Puducherry,Urban,DMK,61.54,20.5413,9.2163,2011
AS-AC0099,Assam,Semi-Urban,AIUDF,74.81,10.1212,10.2429,2011
WE-AC0100,West Bengal,Rural,CPIM,78.29,-4.3545,-10.5326,2011
KE-AC0101,Kerala,Semi-Urban,LDF,59.93,5.1677,-9.0053,2011
PU-AC0102,Puducherry,Semi-Urban,DMK,82.67,11.1736,9.5825,2011
TA-AC0103,Tamil Nadu,Rural,AIADMK,83.25,-1.8416,-6.7004,2011
WE-AC0104,West Bengal,Semi-Urban,TMC,76.74,0.9589,-0.3096,2011
TA-AC0105,Tamil Nadu,Rural,AIADMK,75.21,0.5324,-4.1814,2011
PU-AC0106,Puducherry,Semi-Urban,INC,68.19,11.1654,-0.0335,2011
PU-AC0107,Puducherry,Urban,INC,62.89,-0.1451,-9.1655,2011
PU-AC0108,Puducherry,Rural,DMK,76.98,1.8793,0.2609,2011
PU-AC0109,Puducherry,Rural,DMK,69.98,-2.047,-13.5168,2011
PU-AC0110,Puducherry,Rural,INC,74.61,3.6069,-17.1954,2011
TA-AC0111,Tamil Nadu,Rural,INC,68.0,8.238,-3.5087,2011
KE-AC0112,Kerala,Semi-Urban,INC,79.05,11.5849,9.7255,2011
KE-AC0113,Kerala,Semi-Urban,BJP,79.36,33.6663,10.1014,2011
PU-AC0114,Puducherry,Rural,AINRC,89.66,11.2733,13.6799,2011
TA-AC0115,Tamil Nadu,Rural,AIADMK,69.12,0.6991,-2.795,2011
PU-AC0116,Puducherry,Rural,BJP,80.26,1.5159,0.2976,2011
AS-AC0117,Assam,Urban,AGP,61.2,-1.9063,-4.7875,2011
AS-AC0118,Assam,Rural,AIUDF,79.22,-7.5743,-14.8556,2011
KE-AC0119,Kerala,Semi-Urban,LDF,75.76,5.4509,0.4702,2011
AS-AC0120,Assam,Rural,AIUDF,83.59,13.647,14.5338,2011
PU-AC0121,Puducherry,Rural,DMK,70.77,2.5401,-10.5091,2011
PU-AC0122,Puducherry,Urban,AINRC,63.57,20.0865,0.5031,2011
WE-AC0123,West Bengal,Rural,BJP,76.62,10.4582,-6.5941,2011
TA-AC0124,Tamil Nadu,Urban,BJP,59.5,2.2009,-1.0405,2011
AS-AC0125,Assam,Semi-Urban,AIUDF,65.44,-6.1128,-11.7357,2011
PU-AC0126,Puducherry,Urban,DMK,77.54,24.547,9.3784,2011
KE-AC0127,Kerala,Urban,INC,64.77,4.1361,3.3446,2011
KE-AC0128,Kerala,Rural,UDF,75.76,1.5739,-0.0828,2011
PU-AC0129,Puducherry,Rural,INC,87.4,10.1433,3.4314,2011
WE-AC0130,West Bengal,Semi-Urban,BJP,79.39,18.5473,11.087,2011
AS-AC0131,Assam,Rural,AIUDF,78.68,15.3453,4.8056,2011
TA-AC0132,Tamil Nadu,Semi-Urban,BJP,77.26,18.1982,12.7845,2011
TA-AC0133,Tamil Nadu,Rural,INC,88.33,8.7724,2.1363,2011
TA-AC0134,Tamil Nadu,Rural,DMK,83.79,5.208,1.8661,2011
WE-AC0135,West Bengal,Rural,TMC,79.88,1.3923,-15.2319,2011
KE-AC0136,Kerala,Urban,UDF,65.2,3.489,-0.4803,2011
AS-AC0137,Assam,Rural,AIUDF,74.3,0.8824,-11.4696,2011
KE-AC0138,Kerala,Rural,INC,82.1,10.5159,-9.2933,2011
TA-AC0139,Tamil Nadu,Semi-Urban,BJP,74.41,12.782,-0.2892,2011
KE-AC0140,Kerala,Semi-Urban,LDF,80.53,23.3081,13.2915,2011
WE-AC0141,West Bengal,Rural,TMC,75.51,-1.9406,-15.7972,2011
KE-AC0142,Kerala,Semi-Urban,UDF,66.69,21.9347,-11.779,2011
KE-AC0143,Kerala,Rural,LDF,83.78,5.3347,4.7887,2011
WE-AC0144,West Bengal,Rural,BJP,78.4,10.203,-3.8318,2011
WE-AC0145,West Bengal,Rural,BJP,76.04,2.7959,-6.8198,2011
TA-AC0146,Tamil Nadu,Urban,DMK,64.29,9.5495,1.3278,2011
TA-AC0147,Tamil Nadu,Semi-Urban,BJP,74.82,10.0586,5.2212,2011
AS-AC0148,Assam,Rural,INC,88.61,5.7748,4.6413,2011
AS-AC0149,Assam,Urban,INC,54.72,2.7054,-5.293,2011
TA-AC0150,Tamil Nadu,Rural,DMK,74.54,-9.2512,-19.9741,2011
WE-AC0151,West Bengal,Semi-Urban,CPIM,76.56,10.7004,-2.7475,2011
TA-AC0152,Tamil Nadu,Semi-Urban,AIADMK,72.2,31.9478,20.0174,2011
AS-AC0153,Assam,Rural,INC,76.96,0.2174,-15.7639,2011
AS-AC0154,Assam,Semi-Urban,BJP,66.56,-1.5637,-6.7162,2011
WE-AC0155,West Bengal,Rural,TMC,78.49,11.4766,-7.1362,2011
WE-AC0156,West Bengal,Rural,TMC,71.13,13.162,-2.724,2011
KE-AC0157,Kerala,Semi-Urban,LDF,63.07,-4.864,-13.0466,2011
WE-AC0158,West Bengal,Rural,BJP,84.83,0.1176,-1.6121,2011
WE-AC0159,West Bengal,Rural,CPIM,75.21,-0.7899,-10.3495,2011
PU-AC0160,Puducherry,Rural,DMK,74.29,10.7032,5.0343,2011
PU-AC0161,Puducherry,Urban,INC,62.8,12.3675,1.2059,2011
PU-AC0162,Puducherry,Semi-Urban,INC,71.15,-7.6352,-12.1897,2011
WE-AC0163,West Bengal,Urban,TMC,64.78,12.8387,4.4923,2011
PU-AC0164,Puducherry,Rural,INC,73.29,13.9375,-4.4001,2011
PU-AC0165,Puducherry,Rural,AINRC,89.88,7.4339,4.5353,2011
KE-AC0166,Kerala,Semi-Urban,UDF,78.15,6.5994,6.354,2011
WE-AC0167,West Bengal,Rural,TMC,93.04,18.7833,15.8637,2011
WE-AC0168,West Bengal,Rural,TMC,79.28,10.7218,-2.324,2011
KE-AC0169,Kerala,Rural,UDF,72.53,8.6086,1.7097,2011
KE-AC0170,Kerala,Rural,INC,83.69,13.9104,12.6182,2011
PU-AC0171,Puducherry,Rural,INC,75.96,6.7949,-4.2732,2011
AS-AC0172,Assam,Rural,INC,78.31,-6.0383,-15.705,2011
AS-AC0173,Assam,Urban,AGP,72.12,4.9722,2.2228,2011
WE-AC0174,West Bengal,Rural,INC,75.27,14.1221,0.6847,2011
TA-AC0175,Tamil Nadu,Urban,AIADMK,64.68,1.5349,-2.5375,2011
KE-AC0176,Kerala,Semi-Urban,LDF,79.42,9.5149,5.6979,2011
WE-AC0177,West Bengal,Rural,BJP,80.04,10.595,4.5354,2011
WE-AC0178,West Bengal,Rural,INC,89.88,24.0456,25.7971,2011
WE-AC0179,West Bengal,Rural,TMC,79.38,-2.1839,-5.3415,2011
KE-AC0180,Kerala,Rural,INC,67.93,6.4637,-12.2224,2011
AS-AC0181,Assam,Urban,INC,67.59,4.918,1.0854,2011
TA-AC0182,Tamil Nadu,Semi-Urban,INC,83.26,15.5113,19.4654,2011
TA-AC0183,Tamil Nadu,Semi-Urban,BJP,71.01,-4.8155,-9.2067,2011
WE-AC0184,West Bengal,Rural,BJP,81.43,33.0101,3.8361,2011
PU-AC0185,Puducherry,Rural,BJP,79.39,9.0601,7.8932,2011
WE-AC0186,West Bengal,Rural,BJP,73.91,5.015,0.2485,2011
WE-AC0187,West Bengal,Rural,CPIM,80.5,13.6926,8.1319,2011
PU-AC0188,Puducherry,Rural,AINRC,67.54,10.1774,0.282,2011
KE-AC0189,Kerala,Rural,UDF,76.52,8.7965,-2.3635,2011
TA-AC0190,Tamil Nadu,Rural,DMK,79.66,14.0015,1.9758,2011
AS-AC0191,Assam,Rural,AIUDF,73.45,-0.9884,-3.0522,2011
AS-AC0192,Assam,Rural,INC,77.33,-5.9779,-9.6952,2011
KE-AC0193,Kerala,Rural,BJP,74.46,14.2316,2.7833,2011
WE-AC0194,West Bengal,Rural,CPIM,79.87,14.8519,8.5446,2011
WE-AC0195,West Bengal,Urban,TMC,57.01,7.6552,-5.0733,2011
AS-AC0196,Assam,Rural,BJP,79.02,12.2442,13.4541,2011
PU-AC0197,Puducherry,Urban,INC,48.75,-11.5244,-25.9104,2011
TA-AC0198,Tamil Nadu,Rural,BJP,77.65,3.4014,-4.3516,2011
TA-AC0199,Tamil Nadu,Urban,DMK,62.27,12.6046,5.5383,2011
TA-AC0200,Tamil Nadu,Rural,AIADMK,80.81,10.8387,10.399,2011
TA-AC0201,Tamil Nadu,Urban,INC,65.24,25.6731,9.2135,2011
WE-AC0202,West Bengal,Rural,CPIM,77.15,1.3185,-7.5342,2011
WE-AC0203,West Bengal,Rural,CPIM,87.77,10.101,5.7537,2011
KE-AC0204,Kerala,Rural,INC,76.0,9.4244,-4.3605,2011
TA-AC0205,Tamil Nadu,Urban,INC,63.95,-2.6067,-7.568,2011
WE-AC0206,West Bengal,Rural,CPIM,77.24,12.3068,0.3859,2011
AS-AC0207,Assam,Urban,INC,58.66,6.389,2.017,2011
AS-AC0208,Assam,Urban,INC,59.79,1.7009,-2.7681,2011
WE-AC0209,West Bengal,Urban,CPIM,75.4,7.5519,6.8868,2011
KE-AC0210,Kerala,Rural,LDF,79.5,8.4611,9.0934,2011
AS-AC0211,Assam,Semi-Urban,BJP,66.18,-3.4907,-14.9194,2011
KE-AC0212,Kerala,Rural,BJP,91.55,16.944,6.2355,2011
TA-AC0213,Tamil Nadu,Rural,INC,86.06,8.2655,7.6953,2011
TA-AC0214,Tamil Nadu,Rural,DMK,82.07,4.1367,-8.5811,2011
WE-AC0215,West Bengal,Rural,TMC,68.33,9.7765,-11.0631,2011
AS-AC0216,Assam,Rural,INC,88.53,14.1594,6.1904,2011
PU-AC0217,Puducherry,Urban,INC,58.38,14.6233,-4.1183,2011
PU-AC0218,Puducherry,Rural,DMK,95.0,24.3258,14.2336,2011
AS-AC0219,Assam,Semi-Urban,INC,67.9,13.2688,-0.0337,2011
PU-AC0220,Puducherry,Rural,AINRC,69.34,11.3203,8.0094,2011
AS-AC0221,Assam,Urban,INC,67.88,7.5516,6.9825,2011
AS-AC0222,Assam,Rural,BJP,75.03,0.8787,-9.5944,2011
AS-AC0223,Assam,Rural,INC,73.63,-9.3315,-17.6844,2011
PU-AC0224,Puducherry,Rural,DMK,63.23,3.223,-7.995,2011
TA-AC0225,Tamil Nadu,Semi-Urban,INC,66.63,-6.0871,-9.9931,2011
AS-AC0226,Assam,Urban,BJP,63.66,0.4942,-6.9266,2011
WE-AC0227,West Bengal,Rural,CPIM,71.41,7.5416,8.8405,2011
KE-AC0228,Kerala,Semi-Urban,LDF,75.9,4.1071,0.9675,2011
TA-AC0229,Tamil Nadu,Urban,INC,60.25,28.903,6.1081,2011
WE-AC0230,West Bengal,Urban,TMC,57.23,31.3235,-1.6418,2011
TA-AC0231,Tamil Nadu,Rural,DMK,88.03,4.5617,2.0982,2011
TA-AC0232,Tamil Nadu,Urban,INC,67.8,21.7793,20.1001,2011
AS-AC0233,Assam,Rural,AGP,69.19,12.1016,-0.3653,2011
PU-AC0234,Puducherry,Rural,INC,74.76,7.1565,-6.885,2011
TA-AC0235,Tamil Nadu,Urban,BJP,66.1,1.3313,-0.7784,2011
KE-AC0236,Kerala,Rural,INC,74.81,-2.4613,-14.3828,2011
TA-AC0237,Tamil Nadu,Urban,AIADMK,69.54,24.6537,6.5636,2011
KE-AC0238,Kerala,Semi-Urban,UDF,68.71,2.7369,-4.0365,2011
WE-AC0239,West Bengal,Semi-Urban,TMC,74.63,9.8609,0.0581,2011
TA-AC0240,Tamil Nadu,Urban,AIADMK,65.01,18.2625,9.8573,2011
TA-AC0241,Tamil Nadu,Urban,BJP,60.36,11.5204,5.9644,2011
AS-AC0242,Assam,Rural,AIUDF,86.11,5.603,-1.1807,2011
TA-AC0243,Tamil Nadu,Urban,BJP,65.57,14.5138,16.4105,2011
WE-AC0244,West Bengal,Rural,TMC,89.97,7.0411,5.135,2011
AS-AC0245,Assam,Rural,AIUDF,75.71,34.5099,-6.7546,2011
KE-AC0246,Kerala,Rural,INC,70.82,24.1905,1.2585,2011
WE-AC0247,West Bengal,Rural,INC,87.61,17.8769,11.097,2011
KE-AC0248,Kerala,Urban,BJP,44.37,-11.5649,-22.7699,2011
AS-AC0249,Assam,Urban,BJP,59.7,15.1485,-0.6739,2011
WE-AC0250,West Bengal,Rural,BJP,80.55,7.6302,8.0806,2011
WE-AC0251,West Bengal,Urban,TMC,51.39,1.7193,-2.9627,2011
AS-AC0252,Assam,Semi-Urban,AGP,73.39,21.2884,7.9438,2011
AS-AC0253,Assam,Rural,BJP,76.48,2.2364,0.3606,2011
WE-AC0254,West Bengal,Rural,INC,94.02,24.912,26.8753,2011
WE-AC0255,West Bengal,Rural,INC,76.83,10.8831,-3.5508,2011
AS-AC0256,Assam,Rural,BJP,76.18,2.5042,-5.026,2011
WE-AC0257,West Bengal,Urban,TMC,60.65,2.6928,-4.6955,2011
KE-AC0258,Kerala,Urban,UDF,57.52,6.5166,7.6006,2011
KE-AC0259,Kerala,Semi-Urban,UDF,63.27,-7.8746,-17.9426,2011
PU-AC0260,Puducherry,Rural,BJP,85.98,10.8214,13.3062,2011
KE-AC0261,Kerala,Urban,INC,65.44,10.8426,-0.8722,2011
PU-AC0262,Puducherry,Rural,DMK,75.67,9.8273,8.9504,2011
WE-AC0263,West Bengal,Rural,INC,77.83,7.1525,3.4282,2011
AS-AC0264,Assam,Semi-Urban,INC,60.04,2.8573,-8.9619,2011
KE-AC0265,Kerala,Rural,LDF,74.32,11.8558,0.068,2011
KE-AC0266,Kerala,Rural,UDF,68.93,-3.2903,-6.4557,2011
WE-AC0267,West Bengal,Urban,CPIM,68.12,15.2618,-1.4083,2011
KE-AC0268,Kerala,Urban,BJP,68.12,5.8257,1.3146,2011
WE-AC0269,West Bengal,Rural,CPIM,76.97,-1.8073,-17.4853,2011
TA-AC0270,Tamil Nadu,Urban,AIADMK,55.61,0.7948,-2.1492,2011
AS-AC0271,Assam,Urban,AGP,66.38,12.4383,-4.9827,2011
TA-AC0272,Tamil Nadu,Semi-Urban,AIADMK,87.72,16.8244,20.3568,2011
KE-AC0273,Kerala,Urban,LDF,64.2,7.5746,7.3639,2011
PU-AC0274,Puducherry,Semi-Urban,INC,59.17,32.6997,-14.5317,2011
WE-AC0275,West Bengal,Urban,INC,57.94,4.8495,3.2984,2011
KE-AC0276,Kerala,Rural,LDF,86.11,16.1615,8.4877,2011
AS-AC0277,Assam,Semi-Urban,BJP,66.46,4.0557,1.6627,2011
AS-AC0278,Assam,Rural,BJP,82.79,-2.2861,-6.3434,2011
PU-AC0279,Puducherry,Rural,DMK,83.14,5.4875,4.6769,2011
AS-AC0280,Assam,Urban,AGP,68.06,15.9557,19.679,2011
TA-AC0281,Tamil Nadu,Rural,BJP,95.0,24.0187,4.0811,2011
TA-AC0282,Tamil Nadu,Rural,BJP,83.29,15.0374,9.5515,2011
PU-AC0283,Puducherry,Rural,AINRC,71.71,-4.4697,-7.9443,2011
TA-AC0284,Tamil Nadu,Rural,INC,89.41,10.6687,9.4753,2011
AS-AC0285,Assam,Semi-Urban,AGP,64.79,-3.8092,-6.8396,2011
WE-AC0286,West Bengal,Urban,INC,66.28,5.3811,4.8596,2011
WE-AC0287,West Bengal,Rural,BJP,80.3,-0.2336,-11.2742,2011
PU-AC0288,Puducherry,Semi-Urban,BJP,63.39,15.1948,2.1329,2011
AS-AC0289,Assam,Urban,AIUDF,71.85,14.0012,12.3571,2011
KE-AC0290,Kerala,Urban,LDF,68.87,3.2889,2.7984,2011
WE-AC0291,West Bengal,Urban,CPIM,66.05,16.0687,10.0371,2011
AS-AC0292,Assam,Rural,AGP,80.14,0.4231,-9.7355,2011
KE-AC0293,Kerala,Rural,LDF,72.8,-3.7929,-17.6908,2011
WE-AC0294,West Bengal,Urban,CPIM,58.93,1.6287,0.1538,2011
PU-AC0295,Puducherry,Semi-Urban,AINRC,71.75,8.8626,1.496,2011
KE-AC0296,Kerala,Rural,BJP,81.89,10.3672,7.5605,2011
WE-AC0297,West Bengal,Rural,TMC,89.77,12.7313,12.3613,2011
AS-AC0298,Assam,Rural,BJP,78.37,7.558,1.3978,2011
KE-AC0299,Kerala,Rural,LDF,72.36,3.8841,-12.2071,2011
TA-AC0300,Tamil Nadu,Urban,DMK,68.56,25.2084,21.0381,2011
PU-AC0301,Puducherry,Rural,BJP,78.27,2.7866,-9.0205,2011
WE-AC0302,West Bengal,Semi-Urban,BJP,61.96,5.2675,-14.1254,2011
TA-AC0303,Tamil Nadu,Urban,INC,56.88,-0.1032,-9.9435,2011
KE-AC0304,Kerala,Semi-Urban,INC,69.5,-0.0303,-4.886,2011
TA-AC0305,Tamil Nadu,Semi-Urban,INC,68.73,3.582,1.3575,2011
WE-AC0306,West Bengal,Rural,INC,70.21,32.0975,2.5557,2011
KE-AC0307,Kerala,Urban,INC,63.84,6.8165,2.4395,2011
KE-AC0308,Kerala,Rural,INC,83.29,14.4865,6.3573,2011
TA-AC0309,Tamil Nadu,Semi-Urban,DMK,66.56,-3.8834,-15.9372,2011
WE-AC0310,West Bengal,Urban,INC,58.85,5.6201,-3.1772,2011
PU-AC0311,Puducherry,Semi-Urban,BJP,71.82,15.7497,15.7811,2011
AS-AC0312,Assam,Rural,AIUDF,79.3,3.7441,-3.8308,2011
WE-AC0313,West Bengal,Semi-Urban,BJP,64.7,2.9645,1.8474,2011
TA-AC0314,Tamil Nadu,Rural,BJP,73.89,-3.2093,-13.1407,2011
WE-AC0315,West Bengal,Urban,INC,62.79,3.2539,1.8494,2011
AS-AC0316,Assam,Semi-Urban,INC,65.86,4.9348,4.6217,2011
TA-AC0317,Tamil Nadu,Urban,INC,67.71,10.4905,7.5939,2011
TA-AC0318,Tamil Nadu,Semi-Urban,BJP,75.98,0.8241,-3.1778,2011
AS-AC0319,Assam,Rural,AIUDF,86.22,14.3254,15.6226,2011
PU-AC0320,Puducherry,Urban,INC,64.6,2.2237,-4.5209,2011
PU-AC0321,Puducherry,Urban,DMK,73.63,-8.7757,-14.6341,2011
KE-AC0322,Kerala,Semi-Urban,BJP,66.7,14.8964,10.0751,2011
TA-AC0323,Tamil Nadu,Rural,DMK,74.06,-2.9858,-5.9771,2011
TA-AC0324,Tamil Nadu,Rural,AIADMK,72.33,-5.0612,-14.6156,2011
KE-AC0325,Kerala,Urban,BJP,65.79,11.4254,-1.522,2011
TA-AC0326,Tamil Nadu,Semi-Urban,AIADMK,65.76,9.7456,2.1365,2011
WE-AC0327,West Bengal,Rural,INC,81.92,12.3934,-3.6536,2011
PU-AC0328,Puducherry,Rural,INC,81.59,14.7148,12.1338,2011
AS-AC0329,Assam,Rural,AGP,73.22,-14.5217,-25.5837,2011
AS-AC0330,Assam,Semi-Urban,INC,70.8,-2.8772,-11.4879,2011
PU-AC0331,Puducherry,Rural,DMK,79.53,17.4747,4.6206,2011
PU-AC0332,Puducherry,Rural,DMK,74.08,-6.3077,-10.3817,2011
WE-AC0333,West Bengal,Semi-Urban,TMC,67.23,7.5744,7.9293,2011
WE-AC0334,West Bengal,Urban,BJP,63.55,5.0572,4.4861,2011
TA-AC0335,Tamil Nadu,Rural,AIADMK,80.59,9.2606,6.766,2011
AS-AC0336,Assam,Semi-Urban,BJP,77.31,30.1217,7.7894,2011
WE-AC0337,West Bengal,Rural,INC,80.13,-2.6459,-5.3473,2011
TA-AC0338,Tamil Nadu,Rural,DMK,91.96,28.2732,29.2336,2011
WE-AC0339,West Bengal,Rural,CPIM,74.62,9.6975,-0.4821,2011
TA-AC0340,Tamil Nadu,Semi-Urban,INC,79.77,12.2268,6.1701,2011
KE-AC0341,Kerala,Rural,LDF,74.7,1.6701,-4.963,2011
AS-AC0342,Assam,Rural,AIUDF,70.49,-10.827,-17.0736,2011
PU-AC0343,Puducherry,Rural,BJP,78.57,10.8008,3.4006,2011
PU-AC0344,Puducherry,Rural,AINRC,78.79,5.5621,-2.6726,2011
TA-AC0345,Tamil Nadu,Rural,INC,74.71,-3.5776,-14.4389,2011
