constituency_id,state_encoded,demographic_encoded,turnout_2016,turnout_2021,turnout_change_21,margin_2016,swing_2016,result_2016_encoded,baseline_pred_margin,scenario_pred_margin,baseline_pred_retained,scenario_pred_retained,baseline_pred_winner,scenario_pred_winner,winner_changed,baseline_pred_retained_label,scenario_pred_retained_label
PU-AC0880,2,1,68.3,66.03,-2.269999999999996,16.2191,3.1607,4,12.22008071075195,21.51638881057097,1,1,BJP,BJP,False,Retained,Retained
PU-AC0262,2,2,73.74,74.33,0.5900000000000034,6.3493,-4.8306,6,6.916491557998522,15.632128367527946,1,1,DMK,DMK,False,Retained,Retained
WE-AC0579,4,2,86.01,89.24,3.2299999999999898,9.9783,2.503,4,16.334577665714452,23.750278377830796,1,1,BJP,BJP,False,Retained,Retained
PU-AC0024,2,2,72.15,72.09,-0.0600000000000022,-10.2963,1.5066,2,-10.823381228717258,-0.9464208926760602,0,0,BJP,AINRC,True,Lost,Lost
WE-AC0031,4,2,75.4,72.65,-2.75,3.7906,-1.6531,7,-0.4739579231882061,8.428755377624045,0,1,CPIM,INC,True,Lost,Retained
KE-AC0618,1,2,77.77,81.59,3.820000000000008,-2.7712,1.702,7,4.105005896521722,12.76907986558721,1,1,INC,INC,False,Retained,Retained
WE-AC0011,4,2,82.46,76.48,-5.97999999999999,8.559,-5.3442,5,-1.0331642624541448,7.158259724807243,0,1,CPIM,CPIM,False,Lost,Retained
AS-AC0222,0,2,73.54,77.9,4.359999999999999,-1.8012,-3.7221,4,6.794358118555998,16.309044995433254,1,1,BJP,BJP,False,Retained,Retained
WE-AC0821,4,2,74.53,77.25,2.719999999999999,14.7593,-19.7366,4,19.893844326049027,29.06330326065782,1,1,BJP,BJP,False,Retained,Retained
WE-AC0297,4,2,90.13,90.92,0.7900000000000063,13.3696,0.8866,9,14.213957826847885,24.03680696801125,1,1,TMC,TMC,False,Retained,Retained
WE-AC0055,4,2,91.19,91.92,0.730000000000004,2.1279,8.7232,5,3.5729888533001963,12.690247633287093,1,1,CPIM,CPIM,False,Retained,Retained
KE-AC0543,1,2,75.29,79.37,4.079999999999998,-1.124,4.7794,4,6.4948677320353125,16.54326586862952,1,1,BJP,BJP,False,Retained,Retained
KE-AC0210,1,2,86.41,87.62,1.210000000000008,20.9163,17.2989,8,22.078387784560043,29.984846515767774,1,1,UDF,UDF,False,Retained,Retained
KE-AC0605,1,2,79.95,73.77,-6.180000000000007,8.6301,0.2521,4,-1.654286619165508,6.999177067979385,0,1,BJP,BJP,False,Lost,Retained
KE-AC0693,1,0,59.36,66.51,7.150000000000006,14.1235,0.4257,8,28.478540922448367,30.59495779058163,1,1,LDF,LDF,False,Retained,Retained
WE-AC0663,4,1,79.74,80.56,0.8200000000000074,2.6733,-7.1889,4,3.9700561461533916,13.755835456217289,0,1,BJP,BJP,False,Lost,Retained
WE-AC0867,4,2,79.33,83.2,3.870000000000005,6.6718,2.086,7,12.697649611037543,21.44094495265025,1,1,INC,INC,False,Retained,Retained
TA-AC0071,3,2,95.0,95.0,0.0,23.7179,27.1805,1,23.908272858639688,31.9728778728931,1,1,AIADMK,AIADMK,False,Retained,Retained
PU-AC0544,2,2,76.77,73.48,-3.289999999999992,28.8433,-6.793,7,25.71731098635179,32.53928122492066,1,1,INC,INC,False,Retained,Retained
PU-AC0108,2,2,79.05,76.15,-2.8999999999999915,5.6064,5.1766,6,-0.022105747047699072,9.225143352131576,0,1,DMK,DMK,False,Lost,Retained
TA-AC0494,3,0,53.01,50.82,-2.1899999999999977,-0.3256,-5.1718,4,-4.066159267966803,5.364077434418422,0,0,BJP,BJP,False,Lost,Lost
AS-AC0591,0,1,66.59,70.91,4.319999999999993,9.2169,7.9474,3,17.263649908110455,25.360285951343837,1,1,AIUDF,AIUDF,False,Retained,Retained
AS-AC0742,0,2,63.46,67.49,4.029999999999994,-9.1385,-9.7866,7,-1.376307942103484,3.076182235684689,0,0,BJP,INC,True,Lost,Lost
KE-AC0293,1,2,70.02,68.38,-1.6400000000000006,-8.7948,-6.9471,7,-10.385265202767382,-1.04768709079137,0,0,BJP,BJP,False,Lost,Lost
KE-AC0290,1,0,62.96,63.99,1.0300000000000011,-7.3479,-14.7733,4,-4.527916720932144,0.7791184971766796,0,0,BJP,BJP,False,Lost,Lost
WE-AC0653,4,2,75.81,74.62,-1.1899999999999975,27.4562,-11.8688,7,25.50452103704727,35.357328275727504,1,1,INC,INC,False,Retained,Retained
TA-AC0040,3,0,58.15,63.27,5.1200000000000045,-3.5066,-18.9738,6,4.3011669309644045,10.85959895992065,0,0,DMK,DMK,False,Lost,Lost
KE-AC0590,1,2,86.29,77.66,-8.63000000000001,23.3835,5.5558,4,8.545688555440266,16.260104788513726,0,1,BJP,BJP,False,Lost,Retained
KE-AC0308,1,2,80.47,80.3,-0.1700000000000017,9.3971,-7.0686,7,9.176443581984783,17.796953438225824,1,1,INC,INC,False,Retained,Retained
TA-AC0680,3,0,66.6,62.48,-4.119999999999997,8.3302,-1.9998,1,0.6625168920641076,9.665625748121613,0,1,AIADMK,AIADMK,False,Lost,Retained
AS-AC0067,0,0,72.79,71.52,-1.2700000000000102,15.2167,20.5509,3,12.296932808158694,22.249881302210653,1,1,AIUDF,AIUDF,False,Retained,Retained
KE-AC0276,1,2,86.23,80.94,-5.290000000000006,16.3811,0.305,8,6.4295197776289585,16.26179791154141,1,1,LDF,LDF,False,Retained,Retained
KE-AC0068,1,1,60.6,58.64,-1.9600000000000009,-1.8896,0.5084,10,-4.042234360283358,4.96941472558085,0,1,LDF,UDF,True,Lost,Retained
AS-AC0319,0,2,88.69,87.86,-0.8299999999999983,18.7785,6.1849,3,18.076337487377597,25.252328836241773,1,1,AIUDF,AIUDF,False,Retained,Retained
KE-AC0549,1,2,64.62,62.54,-2.0800000000000054,-19.6935,-22.9811,8,-20.94929730032468,-11.225113227308823,0,0,BJP,BJP,False,Lost,Lost
AS-AC0999,0,0,63.72,65.31,1.5900000000000034,-2.756,-0.0511,4,-0.5978479576105855,7.696541380941297,0,1,BJP,BJP,False,Lost,Retained
AS-AC0715,0,1,70.59,73.49,2.8999999999999915,10.5455,-13.6336,3,16.176025641653272,24.47383759361253,1,1,AIUDF,AIUDF,False,Retained,Retained
KE-AC0754,1,1,75.63,67.31,-8.319999999999993,-1.8754,6.0983,10,-13.64337363968528,-6.165248083889961,0,0,INC,INC,False,Lost,Lost
PU-AC0328,2,2,81.84,87.08,5.239999999999995,15.1697,0.6318,7,23.759671653244922,30.28383941360121,1,1,INC,INC,False,Retained,Retained
AS-AC0383,0,2,85.32,83.29,-2.029999999999987,8.9099,-4.1063,7,5.683235068130338,14.83107796252436,0,1,INC,INC,False,Lost,Retained
PU-AC0452,2,1,87.44,86.81,-0.6299999999999955,27.9828,19.3745,7,27.71427114545885,36.89323461302729,1,1,INC,INC,False,Retained,Retained
TA-AC0523,3,2,79.52,80.98,1.460000000000008,-0.6462,1.4936,7,1.8349236238426208,11.661137431420306,0,1,INC,INC,False,Lost,Retained
AS-AC0219,0,1,67.21,65.4,-1.809999999999988,12.0435,-1.7018,7,8.947184952542496,18.059715959545688,1,1,INC,INC,False,Retained,Retained
WE-AC0788,4,1,72.11,65.08,-7.030000000000001,3.6326,-6.3028,4,-7.6986195852775605,0.4373832589792681,0,0,BJP,CPIM,True,Lost,Lost
KE-AC0437,1,2,74.77,77.47,2.700000000000003,0.0421,-12.2398,7,5.668746967098005,14.54197782273598,0,1,INC,INC,False,Lost,Retained
AS-AC0765,0,2,82.45,82.35,-0.1000000000000085,-3.1385,2.6082,3,-5.05241991465279,5.107409385029785,0,1,AIUDF,AIUDF,False,Lost,Retained
PU-AC0089,2,1,71.12,65.31,-5.810000000000002,3.1369,-4.0694,4,-6.21895141924724,1.5559043391483267,0,0,BJP,BJP,False,Lost,Lost
AS-AC0064,0,1,81.67,82.14,0.4699999999999988,14.2876,-8.6858,4,14.696574769586706,25.085462289466548,1,1,BJP,BJP,False,Retained,Retained
PU-AC0827,2,0,64.85,57.38,-7.469999999999992,-4.3782,-9.3492,2,-17.65028674890522,-9.958449357582673,0,0,AINRC,AINRC,False,Lost,Lost
PU-AC0717,2,0,73.9,75.99,2.089999999999989,18.7211,3.0997,2,22.316456441288135,31.904512858652435,1,1,AINRC,AINRC,False,Retained,Retained
AS-AC0352,0,0,69.05,68.08,-0.9699999999999988,4.2836,-0.7413,7,2.2895949603841674,11.447233361834229,0,1,INC,INC,False,Lost,Retained
TA-AC0937,3,1,77.87,75.83,-2.0400000000000063,13.3351,-0.3514,1,9.991494479350665,19.19825944173651,1,1,AIADMK,AIADMK,False,Retained,Retained
WE-AC0257,4,0,59.87,61.09,1.220000000000006,1.2867,-1.953,9,2.7152382914825663,11.92390438004124,0,1,TMC,TMC,False,Lost,Retained
PU-AC0636,2,2,75.87,77.55,1.6799999999999926,25.1115,8.5008,2,28.462909630092668,37.16343975148643,1,1,AINRC,AINRC,False,Retained,Retained
WE-AC0645,4,2,75.35,64.26,-11.08999999999999,0.3001,4.2288,9,-15.1632049257936,-10.493253603778793,0,0,CPIM,CPIM,False,Lost,Lost
AS-AC0555,0,2,80.1,83.4,3.300000000000012,7.9366,1.0586,0,13.544678239873205,21.684117612099655,1,1,AGP,AGP,False,Retained,Retained
PU-AC0960,2,2,89.19,91.56,2.3700000000000045,24.1373,10.3411,6,29.996953183186463,37.43214595996408,1,1,DMK,DMK,False,Retained,Retained
KE-AC0169,1,2,62.86,60.73,-2.1300000000000026,-8.7899,-24.1645,10,-11.20749152505825,-3.5862281563044234,0,0,UDF,UDF,False,Lost,Lost
PU-AC0918,2,2,94.85,95.0,0.1500000000000056,13.31,15.33,6,13.573519133862362,22.253083431988266,1,1,DMK,DMK,False,Retained,Retained
TA-AC0529,3,2,75.57,78.74,3.1700000000000017,-5.338,-13.8543,6,-0.6503100657252876,6.970429236625424,0,1,DMK,DMK,False,Lost,Retained
KE-AC0824,1,2,64.74,60.09,-4.649999999999992,7.7173,-1.9391,4,-0.91949953267829,7.971083545578419,0,1,BJP,BJP,False,Lost,Retained
PU-AC0986,2,1,76.57,77.84,1.2700000000000102,17.5291,18.4687,7,19.19059328874093,30.241942721930844,1,1,INC,INC,False,Retained,Retained
AS-AC0817,0,2,87.45,85.75,-1.7000000000000028,22.0671,3.9458,4,18.262895862644783,27.302992232055924,1,1,BJP,BJP,False,Retained,Retained
TA-AC0087,3,2,70.03,72.73,2.700000000000003,-8.4016,-22.448,7,-3.662579027478984,4.451033474615204,0,0,BJP,INC,True,Lost,Lost
WE-AC0433,4,0,58.51,60.24,1.730000000000004,16.69,4.2956,9,19.263409275758345,29.95916927055539,1,1,TMC,TMC,False,Retained,Retained
PU-AC0185,2,2,76.8,77.89,1.0900000000000034,4.3897,-6.4866,6,6.284616339231724,14.96500687556438,1,1,DMK,DMK,False,Retained,Retained
KE-AC0979,1,2,77.2,84.59,7.390000000000001,19.1177,-8.2583,7,32.28270978404929,32.56629288599732,1,1,INC,INC,False,Retained,Retained
TA-AC0535,3,2,75.57,72.4,-3.1699999999999875,-13.2151,-10.6486,6,-17.506851502144766,-7.853204762782886,0,0,BJP,BJP,False,Lost,Lost
PU-AC0295,2,1,76.03,76.79,0.7600000000000051,16.5638,10.6961,2,17.94828189678585,28.723542727588253,1,1,AINRC,AINRC,False,Retained,Retained
AS-AC0893,0,2,80.48,77.19,-3.2900000000000063,-6.6107,2.6829,0,-10.396715540304056,-2.9081781492427967,0,0,BJP,AGP,True,Lost,Lost
WE-AC0426,4,1,67.9,64.97,-2.930000000000007,18.0814,3.4829,4,11.92323090030818,21.523729636862722,1,1,BJP,BJP,False,Retained,Retained
WE-AC0714,4,0,68.88,68.61,-0.269999999999996,36.1392,5.8821,9,34.70656426782725,45.73246698465603,1,1,TMC,TMC,False,Retained,Retained
KE-AC0261,1,0,63.96,59.47,-4.490000000000002,8.1817,-3.6957,7,-0.023276164629351725,8.742536364545265,0,1,INC,INC,False,Lost,Retained
KE-AC0238,1,1,64.89,66.59,1.7000000000000028,-4.14,-9.5512,10,-1.3380048611375186,5.767544242593061,0,0,LDF,UDF,True,Lost,Lost
TA-AC0560,3,2,62.41,57.68,-4.729999999999997,-1.9825,-13.8293,7,-9.117752566861657,-0.6232296899401326,0,0,DMK,BJP,True,Lost,Lost
PU-AC0584,2,2,85.99,82.42,-3.569999999999993,7.4037,-1.5897,6,1.233475701183778,9.81348912220329,0,1,DMK,DMK,False,Lost,Retained
PU-AC0446,2,2,89.64,94.08,4.439999999999998,9.174,9.4285,7,17.26189577508687,24.952945160338487,1,1,INC,INC,False,Retained,Retained
KE-AC0868,1,1,70.27,71.45,1.1800000000000068,0.7283,-5.5951,7,2.3756885183311582,11.434571199376547,0,1,INC,INC,False,Lost,Retained
PU-AC0801,2,1,67.73,67.88,0.1499999999999914,17.797,8.9867,7,17.96660438632556,26.018355375389618,1,1,INC,INC,False,Retained,Retained
KE-AC0600,1,0,67.68,68.36,0.6799999999999926,10.0945,5.8912,10,11.516644430498564,20.81174897061013,1,1,UDF,UDF,False,Retained,Retained
TA-AC0850,3,1,72.17,77.93,5.760000000000005,6.1676,-4.3505,6,15.530231641865646,21.803399777314493,1,1,DMK,DMK,False,Retained,Retained
KE-AC0266,1,2,79.64,77.7,-1.9399999999999975,15.9921,26.7811,10,12.284010526055912,21.881842974576085,1,1,UDF,UDF,False,Retained,Retained
WE-AC0996,4,2,83.52,85.55,2.030000000000001,11.9049,5.8009,9,15.008516341505082,24.15925358667262,1,1,TMC,TMC,False,Retained,Retained
PU-AC0530,2,0,60.82,61.71,0.8900000000000006,2.1946,-0.6092,2,3.63787649781899,12.614445572666863,0,1,BJP,AINRC,True,Lost,Retained
AS-AC0056,0,0,50.26,56.62,6.359999999999999,-9.1574,-12.0912,4,-0.7433008827063999,3.177389454121808,0,0,BJP,BJP,False,Lost,Lost
PU-AC0121,2,2,63.03,58.2,-4.829999999999998,-11.3824,-19.3368,2,-17.24363578597185,-11.108623554523923,0,0,AINRC,AINRC,False,Lost,Lost
AS-AC0216,0,2,86.7,85.27,-1.4300000000000068,10.8608,-4.5814,7,8.335596984476737,17.27628580775605,1,1,INC,INC,False,Retained,Retained
PU-AC0026,2,2,87.99,82.61,-5.379999999999996,25.4853,13.0035,7,16.51456021869811,24.68364459693721,1,1,INC,INC,False,Retained,Retained
AS-AC0073,0,0,57.18,51.95,-5.229999999999997,0.6982,13.431,7,-9.055387846690078,0.5916037439192543,0,0,INC,INC,False,Lost,Lost
PU-AC0045,2,0,68.65,63.28,-5.3700000000000045,8.7774,-6.2686,4,-0.2036532227794282,8.621096480645791,0,1,BJP,BJP,False,Lost,Retained
KE-AC0248,1,0,44.93,49.33,4.399999999999999,-10.5509,1.4083,10,-1.7925422794836996,1.9643436394993925,0,0,UDF,UDF,False,Lost,Lost
TA-AC0722,3,2,79.88,76.39,-3.489999999999995,2.8707,-3.931,1,-3.083079768925848,5.688360070103985,0,1,BJP,AIADMK,True,Lost,Retained
TA-AC0282,3,2,91.73,87.05,-4.680000000000007,30.232,21.1035,4,23.920496557658655,30.22971933271395,1,1,BJP,BJP,False,Retained,Retained
PU-AC0894,2,1,68.33,65.1,-3.230000000000004,38.9617,-3.1074,6,34.4774693383468,41.82162703452374,1,1,DMK,DMK,False,Retained,Retained
PU-AC0915,2,2,83.02,76.87,-6.149999999999992,19.4714,9.396,6,9.513790144267778,17.787748768530978,1,1,DMK,DMK,False,Retained,Retained
KE-AC0811,1,2,74.2,79.58,5.379999999999996,3.5621,1.7962,7,14.339206193546897,21.004857952073987,1,1,INC,INC,False,Retained,Retained
AS-AC0245,0,2,77.59,73.56,-4.030000000000001,37.8907,4.6956,3,29.158580929662016,36.76497540685352,1,1,AIUDF,AIUDF,False,Retained,Retained
TA-AC0823,3,1,74.4,69.97,-4.430000000000007,18.7902,14.8693,1,11.112586243646744,20.07746474249946,1,1,AIADMK,AIADMK,False,Retained,Retained
KE-AC0322,1,1,63.96,67.12,3.160000000000004,9.9671,-6.8463,4,16.21982089639804,24.313152552751177,1,1,BJP,BJP,False,Retained,Retained
KE-AC0644,1,2,85.06,84.1,-0.960000000000008,10.1011,-1.5351,7,8.236712715094802,17.577482334775926,1,1,INC,INC,False,Retained,Retained
WE-AC0159,4,2,74.45,76.24,1.789999999999992,-2.1579,-1.8999,4,0.677700323213848,9.664533220672013,0,1,BJP,BJP,False,Lost,Retained
KE-AC0978,1,2,82.83,87.55,4.719999999999999,5.8732,6.1578,4,14.2785817433391,20.390278939988846,1,1,BJP,BJP,False,Retained,Retained
PU-AC0430,2,0,72.28,71.43,-0.8499999999999943,11.9332,0.7204,4,10.548387092032595,18.318569420743593,1,1,BJP,BJP,False,Retained,Retained
AS-AC0942,0,1,79.99,84.1,4.109999999999999,3.4644,-10.5382,3,10.723272054064564,20.016042516258857,1,1,AIUDF,AIUDF,False,Retained,Retained
PU-AC0463,2,2,72.14,74.58,2.4399999999999977,-0.8318,-11.6481,6,4.039678274734503,13.447422251066483,0,1,DMK,DMK,False,Lost,Retained
WE-AC0310,4,0,63.98,66.21,2.229999999999997,14.8479,12.8164,7,19.244934691442772,29.47963607742489,1,1,INC,INC,False,Retained,Retained
TA-AC0698,3,2,88.81,91.51,2.700000000000003,13.1704,3.3446,7,18.24002750077562,25.977148731942318,1,1,INC,INC,False,Retained,Retained
PU-AC0061,2,1,70.41,72.91,2.5,2.8884,-4.5007,7,8.17740340028939,16.304778657136684,1,1,INC,INC,False,Retained,Retained
KE-AC0885,1,1,72.94,70.94,-2.0,5.5514,6.7414,10,2.230172600815782,10.496548033273971,0,1,INC,INC,False,Lost,Retained
WE-AC0596,4,0,57.63,56.15,-1.480000000000004,-6.3444,-18.0451,4,-9.657944283582493,-0.3057702170812845,0,0,INC,CPIM,True,Lost,Lost
KE-AC0768,1,2,76.44,78.54,2.1000000000000085,14.7646,5.7819,7,18.243468897358095,29.071756299107783,1,1,INC,INC,False,Retained,Retained
KE-AC0650,1,2,80.74,82.47,1.730000000000004,1.3684,-2.4428,10,3.5610332235110946,14.11997502493381,0,1,INC,INC,False,Lost,Retained
AS-AC0651,0,2,77.85,77.25,-0.5999999999999943,15.1027,0.978,4,13.529907178615177,22.141515399906325,1,1,BJP,BJP,False,Retained,Retained
AS-AC0866,0,2,78.35,81.65,3.300000000000012,9.1895,7.6167,0,15.653586282646241,23.40106616843429,1,1,AGP,AGP,False,Retained,Retained
PU-AC0669,2,0,47.23,42.24,-4.989999999999995,-19.6539,-12.7141,6,-22.395437524669276,-18.381354509120932,0,0,DMK,DMK,False,Lost,Lost
KE-AC0299,1,2,70.33,69.74,-0.5900000000000034,0.2255,-5.0814,8,-1.393015618391873,8.273320408258236,0,1,LDF,LDF,False,Lost,Retained
WE-AC0690,4,2,68.94,65.91,-3.030000000000001,2.0687,-4.685,9,-3.3913536300855975,5.924591789842776,0,1,TMC,TMC,False,Lost,Retained
WE-AC0315,4,0,69.26,64.86,-4.400000000000006,14.8932,16.1657,7,6.994785563353113,15.517275688557378,1,1,INC,INC,False,Retained,Retained
PU-AC0311,2,1,67.14,70.54,3.4000000000000057,7.3256,-11.7002,4,12.841259428674304,20.719940054181436,1,1,BJP,BJP,False,Retained,Retained
TA-AC0362,3,0,52.04,56.17,4.130000000000003,-4.3821,-4.747,4,2.1562225764665897,8.25810150896929,0,0,BJP,BJP,False,Lost,Lost
