constituency_id,state,demographic,result,voter_turnout_pct,margin_of_victory_pct,swing_factor_pct,election_year
AS-AC0034,Assam,Rural,AGP,95.0,36.2871,0.0,2021
TA-AC0035,Tamil Nadu,Rural,BJP,76.47,0.8107,-1.1474,2021
WE-AC0036,West Bengal,Rural,INC,73.93,9.8311,5.779,2021
PU-AC0037,Puducherry,Rural,INC,72.7,1.6561,-7.0767,2021
WE-AC0038,West Bengal,Rural,BJP,88.1,20.9169,-4.9841,2021
PU-AC0039,Puducherry,Semi-Urban,BJP,84.42,30.9979,4.1387,2021
TA-AC0040,Tamil Nadu,Urban,DMK,63.27,5.7133,12.8054,2021
KE-AC0041,Kerala,Semi-Urban,UDF,77.26,2.7927,5.9132,2021
TA-AC0042,Tamil Nadu,Urban,AIADMK,60.41,21.1827,15.7011,2021
TA-AC0043,Tamil Nadu,Urban,DMK,72.98,3.5191,-1.8389,2021
AS-AC0044,Assam,Urban,AIUDF,68.56,9.8109,1.1733,2021
PU-AC0045,Puducherry,Urban,BJP,63.28,-0.8851,-13.4201,2021
WE-AC0046,West Bengal,Rural,CPIM,78.68,24.7586,-6.1309,2021
AS-AC0047,Assam,Rural,AGP,75.4,9.0103,-12.1419,2021
PU-AC0048,Puducherry,Rural,DMK,75.19,16.1285,17.7043,2021
TA-AC0049,Tamil Nadu,Semi-Urban,INC,78.89,9.8477,0.6023,2021
TA-AC0050,Tamil Nadu,Rural,DMK,77.6,27.9019,2.3749,2021
WE-AC0051,West Bengal,Rural,INC,72.05,-15.4793,-3.5154,2021
KE-AC0052,Kerala,Urban,LDF,68.04,12.722,7.6834,2021
KE-AC0053,Kerala,Rural,UDF,82.22,7.9972,-4.0122,2021
TA-AC0054,Tamil Nadu,Urban,DMK,68.39,17.8062,0.5435,2021
WE-AC0055,West Bengal,Rural,CPIM,91.92,3.448,1.8334,2021
AS-AC0056,Assam,Urban,BJP,56.62,2.2844,15.8914,2021
AS-AC0057,Assam,Semi-Urban,BJP,82.71,26.4325,-5.769,2021
PU-AC0058,Puducherry,Semi-Urban,INC,83.89,31.8042,-1.323,2021
PU-AC0059,Puducherry,Urban,DMK,64.58,23.0649,13.5387,2021
WE-AC0060,West Bengal,Semi-Urban,TMC,55.48,9.3325,-0.5548,2021
PU-AC0061,Puducherry,Semi-Urban,INC,72.91,7.3729,6.2285,2021
KE-AC0062,Kerala,Urban,LDF,47.65,-13.5907,-2.6826,2021
AS-AC0063,Assam,Rural,AIUDF,90.7,32.2374,13.6863,2021
AS-AC0064,Assam,Semi-Urban,BJP,82.14,15.1258,1.1641,2021
WE-AC0065,West Bengal,Rural,BJP,75.59,-16.6843,-0.5555,2021
PU-AC0066,Puducherry,Urban,AINRC,55.99,13.5887,20.3214,2021
AS-AC0067,Assam,Urban,AIUDF,71.52,12.9173,-3.1936,2021
KE-AC0068,Kerala,Semi-Urban,UDF,58.64,-5.4078,-4.8864,2021
WE-AC0069,West Bengal,Rural,INC,86.54,14.3641,12.0464,2021
PU-AC0070,Puducherry,Urban,DMK,66.51,9.6659,0.6901,2021
TA-AC0071,Tamil Nadu,Rural,AIADMK,95.0,23.7179,0.0,2021
KE-AC0072,Kerala,Rural,UDF,75.39,4.753,-12.9104,2021
AS-AC0073,Assam,Urban,INC,51.95,-8.7169,-13.0766,2021
WE-AC0074,West Bengal,Rural,TMC,72.1,2.7366,8.3975,2021
WE-AC0075,West Bengal,Urban,INC,50.97,-11.47,-8.6399,2021
KE-AC0076,Kerala,Urban,UDF,68.27,20.9905,4.5141,2021
WE-AC0077,West Bengal,Rural,CPIM,81.99,47.8341,4.9457,2021
KE-AC0078,Kerala,Urban,UDF,76.92,26.6477,7.642,2021
KE-AC0079,Kerala,Semi-Urban,LDF,58.12,-25.5526,-21.388,2021
TA-AC0080,Tamil Nadu,Urban,INC,64.56,7.1522,4.6452,2021
AS-AC0081,Assam,Rural,BJP,74.64,-3.6829,3.5316,2021
PU-AC0082,Puducherry,Urban,INC,65.44,15.9903,10.3492,2021
PU-AC0083,Puducherry,Rural,INC,88.52,28.6642,2.9555,2021
WE-AC0084,West Bengal,Urban,INC,68.05,21.8707,0.9562,2021
KE-AC0085,Kerala,Rural,BJP,81.05,16.8649,12.4733,2021
AS-AC0086,Assam,Semi-Urban,INC,79.74,9.3171,3.8784,2021
TA-AC0087,Tamil Nadu,Rural,BJP,72.73,-3.5358,6.7581,2021
PU-AC0088,Puducherry,Rural,DMK,78.91,32.2737,19.9932,2021
PU-AC0089,Puducherry,Semi-Urban,AINRC,65.31,-7.319,-14.522,2021
PU-AC0090,Puducherry,Urban,INC,67.73,14.5936,15.647,2021
PU-AC0091,Puducherry,Rural,AINRC,78.87,7.3885,18.8683,2021
KE-AC0092,Kerala,Rural,LDF,91.9,2.8439,-1.334,2021
TA-AC0093,Tamil Nadu,Rural,INC,76.57,-9.433,6.2814,2021
KE-AC0094,Kerala,Urban,BJP,58.63,-3.0739,2.7718,2021
KE-AC0095,Kerala,Rural,BJP,84.76,12.5431,0.5922,2021
KE-AC0096,Kerala,Rural,UDF,69.39,0.4253,14.6539,2021
KE-AC0097,Kerala,Rural,INC,67.8,4.2519,-20.7339,2021
PU-AC0098,Puducherry,Urban,DMK,65.6,27.8504,9.5151,2021
AS-AC0099,Assam,Semi-Urban,AGP,69.69,0.8941,3.4099,2021
WE-AC0100,West Bengal,Rural,BJP,75.97,-8.5298,-2.2922,2021
KE-AC0101,Kerala,Semi-Urban,BJP,57.99,1.6755,-7.1598,2021
PU-AC0102,Puducherry,Semi-Urban,DMK,86.57,18.1954,7.4798,2021
TA-AC0103,Tamil Nadu,Rural,INC,85.6,2.3973,-3.6099,2021
WE-AC0104,West Bengal,Semi-Urban,CPIM,80.78,8.2333,13.4604,2021
TA-AC0105,Tamil Nadu,Rural,INC,70.46,-8.0185,1.0082,2021
PU-AC0106,Puducherry,Semi-Urban,AINRC,57.6,-7.8945,-25.7822,2021
PU-AC0107,Puducherry,Urban,AINRC,60.41,-4.6172,-13.3274,2021
PU-AC0108,Puducherry,Rural,AINRC,76.15,0.381,-7.2574,2021
PU-AC0109,Puducherry,Rural,BJP,70.29,-1.4871,10.5364,2021
PU-AC0110,Puducherry,Rural,DMK,74.62,3.6281,-2.8062,2021
TA-AC0111,Tamil Nadu,Rural,DMK,56.69,-12.1126,-17.8056,2021
KE-AC0112,Kerala,Semi-Urban,BJP,75.26,4.7563,-15.7022,2021
KE-AC0113,Kerala,Semi-Urban,BJP,76.06,27.7346,0.4477,2021
PU-AC0114,Puducherry,Rural,AINRC,95.0,20.8845,0.0,2021
TA-AC0115,Tamil Nadu,Rural,BJP,68.2,-0.955,-5.8727,2021
PU-AC0116,Puducherry,Rural,DMK,81.95,4.556,-5.1604,2021
AS-AC0117,Assam,Urban,BJP,62.64,0.6939,-8.9461,2021
AS-AC0118,Assam,Rural,INC,83.84,0.7538,8.8963,2021
KE-AC0119,Kerala,Semi-Urban,LDF,77.91,9.337,-6.8343,2021
AS-AC0120,Assam,Rural,AIUDF,87.81,21.2553,-5.2286,2021
PU-AC0121,Puducherry,Rural,INC,58.2,-20.0756,-12.074,2021
PU-AC0122,Puducherry,Urban,AINRC,68.26,28.522,9.281,2021
WE-AC0123,West Bengal,Rural,BJP,77.1,11.3289,5.9731,2021
TA-AC0124,Tamil Nadu,Urban,BJP,66.34,14.509,11.9418,2021
AS-AC0125,Assam,Semi-Urban,INC,72.82,7.1671,10.4853,2021
PU-AC0126,Puducherry,Urban,DMK,74.84,19.684,1.647,2021
KE-AC0127,Kerala,Urban,INC,75.44,23.3511,20.102,2021
KE-AC0128,Kerala,Rural,INC,74.3,-1.0618,-10.6083,2021
PU-AC0129,Puducherry,Rural,INC,88.17,11.5261,-11.3182,2021
WE-AC0130,West Bengal,Semi-Urban,BJP,84.7,28.1072,5.0727,2021
AS-AC0131,Assam,Rural,AIUDF,73.86,6.6774,-8.3356,2021
TA-AC0132,Tamil Nadu,Semi-Urban,BJP,78.21,19.9084,0.4644,2021
TA-AC0133,Tamil Nadu,Rural,INC,87.79,7.8019,-4.0138,2021
TA-AC0134,Tamil Nadu,Rural,AIADMK,82.78,3.3911,1.9409,2021
WE-AC0135,West Bengal,Rural,TMC,79.16,0.084,3.7721,2021
KE-AC0136,Kerala,Urban,UDF,70.82,13.6147,1.0768,2021
AS-AC0137,Assam,Rural,BJP,76.37,4.6168,6.3327,2021
KE-AC0138,Kerala,Rural,INC,81.54,9.5071,6.4019,2021
TA-AC0139,Tamil Nadu,Semi-Urban,BJP,74.57,13.0672,-2.3006,2021
KE-AC0140,Kerala,Semi-Urban,LDF,84.15,29.8279,7.09,2021
WE-AC0141,West Bengal,Rural,CPIM,71.36,-9.4162,-4.6439,2021
KE-AC0142,Kerala,Semi-Urban,UDF,69.42,26.8435,16.188,2021
KE-AC0143,Kerala,Rural,INC,81.4,1.0494,-5.71,2021
WE-AC0144,West Bengal,Rural,CPIM,71.37,-2.4401,-11.4649,2021
WE-AC0145,West Bengal,Rural,INC,70.91,-6.4397,-2.811,2021
TA-AC0146,Tamil Nadu,Urban,DMK,76.63,31.7603,13.8315,2021
TA-AC0147,Tamil Nadu,Semi-Urban,BJP,82.12,23.2062,13.0799,2021
AS-AC0148,Assam,Rural,INC,86.2,1.4274,-0.241,2021
AS-AC0149,Assam,Urban,INC,61.72,15.291,11.2932,2021
TA-AC0150,Tamil Nadu,Rural,BJP,71.11,-15.4211,-0.1355,2021
WE-AC0151,West Bengal,Semi-Urban,CPIM,85.12,26.1221,7.5746,2021
TA-AC0152,Tamil Nadu,Semi-Urban,AIADMK,78.9,44.011,17.8083,2021
AS-AC0153,Assam,Rural,INC,88.38,20.7852,13.8009,2021
AS-AC0154,Assam,Semi-Urban,AIUDF,71.15,6.6959,11.7273,2021
WE-AC0155,West Bengal,Rural,INC,68.49,-6.5246,-16.2622,2021
WE-AC0156,West Bengal,Rural,CPIM,63.77,-0.093,2.5417,2021
KE-AC0157,Kerala,Semi-Urban,LDF,62.27,-6.3112,-16.0554,2021
WE-AC0158,West Bengal,Rural,BJP,95.0,18.4252,9.5873,2021
WE-AC0159,West Bengal,Rural,CPIM,76.24,1.0705,4.4839,2021
PU-AC0160,Puducherry,Rural,AINRC,66.98,-2.4624,2.9299,2021
PU-AC0161,Puducherry,Urban,INC,59.51,6.4512,-4.2729,2021
PU-AC0162,Puducherry,Semi-Urban,BJP,71.73,-6.5915,1.9658,2021
WE-AC0163,West Bengal,Urban,TMC,63.15,9.8992,6.6841,2021
PU-AC0164,Puducherry,Rural,BJP,70.56,9.0238,9.3101,2021
PU-AC0165,Puducherry,Rural,AINRC,92.76,12.6174,9.6409,2021
KE-AC0166,Kerala,Semi-Urban,UDF,82.26,14.0035,-2.614,2021
WE-AC0167,West Bengal,Rural,TMC,89.24,11.9566,10.714,2021
WE-AC0168,West Bengal,Rural,TMC,76.89,6.4169,-10.4901,2021
KE-AC0169,Kerala,Rural,INC,60.73,-12.6282,-5.331,2021
KE-AC0170,Kerala,Rural,INC,85.73,17.5777,3.8005,2021
PU-AC0171,Puducherry,Rural,INC,87.19,27.0178,23.4705,2021
AS-AC0172,Assam,Rural,AIUDF,78.11,-6.39,9.4077,2021
AS-AC0173,Assam,Urban,AGP,69.02,-0.6204,-9.3723,2021
WE-AC0174,West Bengal,Rural,INC,87.1,35.4276,4.1306,2021
TA-AC0175,Tamil Nadu,Urban,INC,71.99,14.685,15.0966,2021
KE-AC0176,Kerala,Semi-Urban,LDF,78.88,8.5389,4.3219,2021
WE-AC0177,West Bengal,Rural,BJP,91.44,31.1005,16.234,2021
WE-AC0178,West Bengal,Rural,INC,93.22,30.0607,16.3912,2021
WE-AC0179,West Bengal,Rural,CPIM,75.14,-9.8137,5.6335,2021
KE-AC0180,Kerala,Rural,LDF,72.16,14.0778,20.7995,2021
AS-AC0181,Assam,Urban,INC,77.91,23.4975,21.1786,2021
TA-AC0182,Tamil Nadu,Semi-Urban,INC,89.13,26.0689,17.2683,2021
TA-AC0183,Tamil Nadu,Semi-Urban,INC,66.03,-13.7748,-14.1371,2021
WE-AC0184,West Bengal,Rural,BJP,76.65,24.4034,-2.8218,2021
PU-AC0185,Puducherry,Rural,DMK,77.89,6.358,2.7338,2021
WE-AC0186,West Bengal,Rural,TMC,66.48,-8.3519,-11.7449,2021
WE-AC0187,West Bengal,Rural,CPIM,80.17,13.1058,-5.3051,2021
PU-AC0188,Puducherry,Rural,AINRC,79.03,30.8598,6.8066,2021
KE-AC0189,Kerala,Rural,INC,70.36,-2.2982,-3.5302,2021
TA-AC0190,Tamil Nadu,Rural,DMK,88.32,29.5876,-3.0014,2021
AS-AC0191,Assam,Rural,BJP,70.27,-6.7231,-1.8697,2021
AS-AC0192,Assam,Rural,AGP,78.4,-4.0569,-4.5896,2021
KE-AC0193,Kerala,Rural,INC,68.22,3.0042,-14.8028,2021
WE-AC0194,West Bengal,Rural,CPIM,78.38,12.1598,-9.2243,2021
WE-AC0195,West Bengal,Urban,TMC,62.51,17.5615,4.2533,2021
AS-AC0196,Assam,Rural,INC,82.04,17.6854,26.9971,2021
PU-AC0197,Puducherry,Urban,AINRC,48.14,-12.6364,3.918,2021
TA-AC0198,Tamil Nadu,Rural,DMK,75.68,-0.1405,-13.0805,2021
TA-AC0199,Tamil Nadu,Urban,DMK,68.77,24.3015,5.3301,2021
TA-AC0200,Tamil Nadu,Rural,AIADMK,85.7,19.6256,18.2601,2021
TA-AC0201,Tamil Nadu,Urban,INC,75.74,44.5734,12.1448,2021
WE-AC0202,West Bengal,Rural,CPIM,76.28,-0.2493,-6.7772,2021
WE-AC0203,West Bengal,Rural,CPIM,78.77,-6.0856,1.8577,2021
KE-AC0204,Kerala,Rural,INC,74.3,6.3622,-7.0785,2021
TA-AC0205,Tamil Nadu,Urban,INC,64.27,-2.0341,15.0133,2021
WE-AC0206,West Bengal,Rural,CPIM,90.26,35.7421,17.9927,2021
AS-AC0207,Assam,Urban,INC,53.58,-2.75,-21.2951,2021
AS-AC0208,Assam,Urban,AIUDF,64.28,9.7875,8.1574,2021
WE-AC0209,West Bengal,Urban,CPIM,83.29,21.7476,15.9912,2021
KE-AC0210,Kerala,Rural,LDF,87.62,23.0777,3.0019,2021
AS-AC0211,Assam,Semi-Urban,AGP,71.06,5.2793,7.2361,2021
KE-AC0212,Kerala,Rural,BJP,95.0,23.1521,5.3358,2021
TA-AC0213,Tamil Nadu,Rural,INC,87.08,10.1011,6.1024,2021
TA-AC0214,Tamil Nadu,Rural,DMK,88.55,15.8019,11.8704,2021
WE-AC0215,West Bengal,Rural,BJP,63.23,0.5998,-8.2034,2021
AS-AC0216,Assam,Rural,INC,85.27,8.2852,-3.5772,2021
PU-AC0217,Puducherry,Urban,DMK,45.96,-7.7387,-16.6128,2021
PU-AC0218,Puducherry,Rural,DMK,95.0,24.3258,0.0,2021
AS-AC0219,Assam,Semi-Urban,INC,65.4,8.7803,-4.5323,2021
PU-AC0220,Puducherry,Rural,DMK,64.06,1.8319,-8.8604,2021
AS-AC0221,Assam,Urban,AGP,68.48,8.6282,10.5666,2021
AS-AC0222,Assam,Rural,BJP,77.9,6.0378,10.8875,2021
AS-AC0223,Assam,Rural,BJP,74.33,-8.0674,-1.476,2021
PU-AC0224,Puducherry,Rural,DMK,65.18,6.7391,3.3197,2021
TA-AC0225,Tamil Nadu,Semi-Urban,AIADMK,69.67,-0.6208,8.1296,2021
AS-AC0226,Assam,Urban,AGP,64.38,1.7812,2.4528,2021
WE-AC0227,West Bengal,Rural,CPIM,73.24,10.8213,-2.8133,2021
KE-AC0228,Kerala,Semi-Urban,LDF,73.04,-1.0306,-6.0401,2021
TA-AC0229,Tamil Nadu,Urban,INC,50.88,12.0322,-10.7347,2021
WE-AC0230,West Bengal,Urban,TMC,66.77,48.4934,19.1471,2021
TA-AC0231,Tamil Nadu,Rural,DMK,95.0,17.1041,0.0,2021
TA-AC0232,Tamil Nadu,Urban,INC,70.74,27.0748,-10.3437,2021
AS-AC0233,Assam,Rural,AGP,73.97,20.7007,10.6586,2021
PU-AC0234,Puducherry,Rural,INC,77.66,12.3754,6.3878,2021
TA-AC0235,Tamil Nadu,Urban,DMK,78.15,23.0222,31.9311,2021
KE-AC0236,Kerala,Rural,LDF,75.82,-0.6535,-6.6814,2021
TA-AC0237,Tamil Nadu,Urban,AIADMK,71.16,27.5773,-4.2776,2021
KE-AC0238,Kerala,Semi-Urban,BJP,66.59,-1.0901,4.236,2021
WE-AC0239,West Bengal,Semi-Urban,TMC,75.51,11.4451,-0.4503,2021
TA-AC0240,Tamil Nadu,Urban,AIADMK,80.11,45.4566,25.8956,2021
TA-AC0241,Tamil Nadu,Urban,BJP,62.66,15.6616,3.0419,2021
AS-AC0242,Assam,Rural,AGP,75.19,-14.0507,-6.0782,2021
TA-AC0243,Tamil Nadu,Urban,BJP,68.26,19.3426,4.2147,2021
WE-AC0244,West Bengal,Rural,TMC,93.21,12.8859,3.8244,2021
AS-AC0245,Assam,Rural,AIUDF,73.56,30.6435,-10.0656,2021
KE-AC0246,Kerala,Rural,INC,69.67,22.1164,-13.1675,2021
WE-AC0247,West Bengal,Rural,INC,88.29,19.0905,-2.4126,2021
KE-AC0248,Kerala,Urban,BJP,49.33,-2.6266,11.006,2021
AS-AC0249,Assam,Urban,BJP,65.4,25.413,8.8475,2021
WE-AC0250,West Bengal,Rural,BJP,89.37,23.5096,18.3818,2021
WE-AC0251,West Bengal,Urban,INC,48.08,-4.2361,7.7923,2021
AS-AC0252,Assam,Semi-Urban,AGP,84.64,41.5351,22.5289,2021
AS-AC0253,Assam,Rural,BJP,82.52,13.1159,11.6351,2021
WE-AC0254,West Bengal,Rural,INC,84.02,6.9267,-6.8793,2021
WE-AC0255,West Bengal,Rural,INC,79.06,14.8936,6.3454,2021
AS-AC0256,Assam,Rural,AIUDF,68.87,-10.6493,-9.3088,2021
WE-AC0257,West Bengal,Urban,TMC,61.09,3.4803,3.0466,2021
KE-AC0258,Kerala,Urban,LDF,52.02,-3.3842,-14.5755,2021
KE-AC0259,Kerala,Semi-Urban,LDF,56.2,-20.6003,-3.1675,2021
PU-AC0260,Puducherry,Rural,BJP,90.73,19.3738,9.9246,2021
KE-AC0261,Kerala,Urban,INC,59.47,0.0924,-11.2352,2021
PU-AC0262,Puducherry,Rural,DMK,74.33,7.4062,1.4679,2021
WE-AC0263,West Bengal,Rural,CPIM,65.66,-14.7459,-22.0915,2021
AS-AC0264,Assam,Semi-Urban,AIUDF,63.96,9.9099,15.0582,2021
KE-AC0265,Kerala,Rural,LDF,71.83,7.3683,-10.749,2021
KE-AC0266,Kerala,Rural,UDF,77.7,12.4954,-4.8565,2021
WE-AC0267,West Bengal,Urban,CPIM,64.85,9.3846,-6.4769,2021
KE-AC0268,Kerala,Urban,INC,64.34,-0.9762,4.6498,2021
WE-AC0269,West Bengal,Rural,INC,75.54,-4.386,-16.6249,2021
TA-AC0270,Tamil Nadu,Urban,AIADMK,57.5,4.1906,7.7966,2021
AS-AC0271,Assam,Urban,AGP,63.75,7.7068,2.0836,2021
TA-AC0272,Tamil Nadu,Semi-Urban,AIADMK,89.5,20.0366,4.1819,2021
KE-AC0273,Kerala,Urban,UDF,54.17,-10.4769,-8.9979,2021
PU-AC0274,Puducherry,Semi-Urban,INC,43.79,5.0196,-12.2067,2021
WE-AC0275,West Bengal,Urban,INC,61.25,10.8062,-18.0561,2021
KE-AC0276,Kerala,Rural,LDF,80.94,6.862,-13.221,2021
AS-AC0277,Assam,Semi-Urban,AIUDF,66.32,3.8144,-3.5791,2021
AS-AC0278,Assam,Rural,BJP,88.52,8.0224,-2.8711,2021
PU-AC0279,Puducherry,Rural,DMK,87.87,14.0107,0.9798,2021
AS-AC0280,Assam,Urban,AGP,70.75,20.7976,6.5371,2021
TA-AC0281,Tamil Nadu,Rural,BJP,90.37,15.686,-11.5732,2021
TA-AC0282,Tamil Nadu,Rural,BJP,87.05,21.8185,-11.6854,2021
PU-AC0283,Puducherry,Rural,DMK,63.9,-18.5255,-8.4992,2021
TA-AC0284,Tamil Nadu,Rural,INC,87.95,8.0348,4.0705,2021
AS-AC0285,Assam,Semi-Urban,BJP,66.08,-1.498,8.5662,2021
WE-AC0286,West Bengal,Urban,INC,70.36,12.7266,6.7104,2021
WE-AC0287,West Bengal,Rural,BJP,91.88,20.6035,7.846,2021
PU-AC0288,Puducherry,Semi-Urban,BJP,60.12,9.3205,-8.1709,2021
AS-AC0289,Assam,Urban,AIUDF,72.2,14.6309,-3.3905,2021
KE-AC0290,Kerala,Urban,LDF,63.99,-5.492,2.5776,2021
WE-AC0291,West Bengal,Urban,CPIM,69.64,22.528,-12.9036,2021
AS-AC0292,Assam,Rural,BJP,84.07,7.4923,5.0547,2021
KE-AC0293,Kerala,Rural,LDF,68.38,-11.7416,-4.0928,2021
WE-AC0294,West Bengal,Urban,TMC,58.62,1.0687,-10.3287,2021
PU-AC0295,Puducherry,Semi-Urban,AINRC,76.79,17.9291,1.8963,2021
KE-AC0296,Kerala,Rural,BJP,89.56,24.1635,19.8169,2021
WE-AC0297,West Bengal,Rural,TMC,90.92,14.7903,1.9732,2021
AS-AC0298,Assam,Rural,BJP,79.5,9.5953,-1.2498,2021
KE-AC0299,Kerala,Rural,INC,69.74,-0.8385,-1.4778,2021
TA-AC0300,Tamil Nadu,Urban,DMK,68.93,25.8716,3.6513,2021
PU-AC0301,Puducherry,Rural,AINRC,79.3,4.6281,11.2543,2021
WE-AC0302,West Bengal,Semi-Urban,TMC,55.46,-6.4313,1.1902,2021
TA-AC0303,Tamil Nadu,Urban,DMK,45.87,-19.9274,-1.9103,2021
KE-AC0304,Kerala,Semi-Urban,INC,74.68,9.3021,15.6517,2021
TA-AC0305,Tamil Nadu,Semi-Urban,DMK,57.21,-17.1415,-13.5356,2021
WE-AC0306,West Bengal,Rural,INC,68.76,29.4855,-13.5145,2021
KE-AC0307,Kerala,Urban,INC,68.91,15.9364,14.8986,2021
KE-AC0308,Kerala,Rural,INC,80.3,9.0896,-0.427,2021
TA-AC0309,Tamil Nadu,Semi-Urban,DMK,77.13,15.1302,13.4883,2021
WE-AC0310,West Bengal,Urban,INC,66.21,18.8633,5.5769,2021
PU-AC0311,Puducherry,Semi-Urban,BJP,70.54,13.4352,8.4856,2021
AS-AC0312,Assam,Rural,AIUDF,81.89,8.4104,1.9849,2021
WE-AC0313,West Bengal,Semi-Urban,BJP,72.82,17.5835,0.068,2021
TA-AC0314,Tamil Nadu,Rural,INC,78.97,5.9277,1.8184,2021
WE-AC0315,West Bengal,Urban,INC,64.86,6.9825,-10.987,2021
AS-AC0316,Assam,Semi-Urban,INC,68.5,9.6949,-13.6317,2021
TA-AC0317,Tamil Nadu,Urban,INC,69.18,13.1272,-9.95,2021
TA-AC0318,Tamil Nadu,Semi-Urban,BJP,77.25,3.1197,10.4791,2021
AS-AC0319,Assam,Rural,AIUDF,87.86,17.2847,-2.0748,2021
PU-AC0320,Puducherry,Urban,BJP,63.79,0.7537,2.6588,2021
PU-AC0321,Puducherry,Urban,DMK,81.42,5.2595,-3.0742,2021
KE-AC0322,Kerala,Semi-Urban,BJP,67.12,15.6596,7.9063,2021
TA-AC0323,Tamil Nadu,Rural,AIADMK,68.08,-13.7405,0.3258,2021
TA-AC0324,Tamil Nadu,Rural,BJP,81.11,10.7345,17.0206,2021
KE-AC0325,Kerala,Urban,BJP,68.94,17.093,11.0313,2021
TA-AC0326,Tamil Nadu,Semi-Urban,AIADMK,58.2,-3.8626,-10.3001,2021
WE-AC0327,West Bengal,Rural,INC,77.95,5.2469,-0.8923,2021
PU-AC0328,Puducherry,Rural,INC,87.08,24.6045,13.1038,2021
AS-AC0329,Assam,Rural,INC,66.2,-27.1556,-10.232,2021
AS-AC0330,Assam,Semi-Urban,INC,75.32,5.251,4.6259,2021
PU-AC0331,Puducherry,Rural,DMK,81.65,21.304,-2.5154,2021
PU-AC0332,Puducherry,Rural,INC,78.05,0.8406,-5.0455,2021
WE-AC0333,West Bengal,Semi-Urban,TMC,74.32,20.3454,8.0337,2021
WE-AC0334,West Bengal,Urban,INC,60.62,-0.2211,-3.783,2021
TA-AC0335,Tamil Nadu,Rural,AIADMK,80.61,9.2899,5.4002,2021
AS-AC0336,Assam,Semi-Urban,BJP,85.84,45.474,16.7449,2021
WE-AC0337,West Bengal,Rural,BJP,83.06,2.6239,14.4442,2021
TA-AC0338,Tamil Nadu,Rural,DMK,95.0,33.7398,4.5283,2021
WE-AC0339,West Bengal,Rural,CPIM,76.29,12.7006,2.2993,2021
TA-AC0340,Tamil Nadu,Semi-Urban,INC,77.04,7.3136,-13.6596,2021
KE-AC0341,Kerala,Rural,LDF,68.05,-10.2928,-4.3465,2021
AS-AC0342,Assam,Rural,BJP,70.97,-9.9682,12.3581,2021
PU-AC0343,Puducherry,Rural,BJP,83.9,20.3977,6.6142,2021
PU-AC0344,Puducherry,Rural,AINRC,80.5,8.6357,0.3873,2021
